t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655423430,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423460,31,0.974660,0.000000,0.000000,0.000000,events/second
1655423490,50,0.808667,0.000000,0.000000,0.000000,events/second
1655423550,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423581,31,0.909396,0.000000,0.000000,0.000000,events/second
1655423640,32,2.494824,0.000000,0.000000,0.000000,events/second
1655423790,20,2.935351,0.000000,0.000000,0.000000,events/second
1655423821,48,1.270221,0.000000,0.000000,0.000000,events/second
1655423851,54,0.795873,0.000000,0.000000,0.000000,events/second
1655423881,64,0.653869,0.000000,0.000000,0.000000,events/second
1655423911,84,0.656753,0.000000,0.000000,0.000000,events/second
1655423941,91,0.576255,0.000000,0.000000,0.000000,events/second
1655423971,97,0.516125,0.000000,0.000000,0.000000,events/second
1655424001,100,0.458823,0.000000,0.000000,0.000000,events/second
1655424031,106,0.427458,0.000000,0.000000,0.000000,events/second
1655424061,109,0.392107,0.000000,0.000000,0.000000,events/second
1655424091,115,0.373380,0.000000,0.000000,0.000000,events/second
1655424121,118,0.349094,0.000000,0.000000,0.000000,events/second
1655424151,124,0.336926,0.000000,0.000000,0.000000,events/second
1655424181,127,0.319055,0.000000,0.000000,0.000000,events/second
1655424211,133,0.310704,0.000000,0.000000,0.000000,events/second
1655424241,136,0.296889,0.000000,0.000000,0.000000,events/second
1655424271,142,0.290920,0.000000,0.000000,0.000000,events/second
1655424301,145,0.279860,0.000000,0.000000,0.000000,events/second
1655424332,151,0.275483,0.000000,0.000000,0.000000,events/second
1655424362,154,0.266373,0.000000,0.000000,0.000000,events/second
1655424392,160,0.263087,0.000000,0.000000,0.000000,events/second
1655424422,163,0.255411,0.000000,0.000000,0.000000,events/second
1655424452,169,0.252915,0.000000,0.000000,0.000000,events/second
1655424482,175,0.250635,0.000000,0.000000,0.000000,events/second
1655424512,184,0.252666,0.000000,0.000000,0.000000,events/second
1655424542,190,0.250575,0.000000,0.000000,0.000000,events/second
1655424572,199,0.252448,0.000000,0.000000,0.000000,events/second
1655424602,208,0.254181,0.000000,0.000000,0.000000,events/second
1655424632,208,0.245188,0.000000,0.000000,0.000000,events/second
1655424662,208,0.236807,0.000000,0.000000,0.000000,events/second
1655424930,21,0.944455,0.000000,0.000000,0.000000,events/second
1655424960,25,0.474961,0.000000,0.000000,0.000000,events/second
1655424990,33,0.399193,0.000000,0.000000,0.000000,events/second
1655425020,37,0.328339,0.000000,0.000000,0.000000,events/second
1655425050,42,0.294287,0.000000,0.000000,0.000000,events/second
1655425080,46,0.266312,0.000000,0.000000,0.000000,events/second
1655425110,51,0.251513,0.000000,0.000000,0.000000,events/second
1655425141,65,0.279240,0.000000,0.000000,0.000000,events/second
1655425650,9,0.300685,0.000000,0.000000,0.000000,events/second
1655425680,9,0.149028,0.000000,0.000000,0.000000,events/second
