t,value
1655423430,0
1655423460,9
1655423490,0
1655423550,0
1655423581,0
1655423640,9
1655423790,7
1655423821,6
1655423851,6
1655423881,6
1655423911,6
1655423941,6
1655423971,6
1655424001,6
1655424031,6
1655424061,6
1655424091,6
1655424121,6
1655424151,6
1655424181,6
1655424211,6
1655424241,6
1655424271,6
1655424301,6
1655424332,6
1655424362,6
1655424392,6
1655424422,6
1655424452,6
1655424482,6
1655424512,6
1655424542,6
1655424572,6
1655424602,4
1655424632,8
1655424662,8
1655424930,6
1655424960,6
1655424990,6
1655425020,6
1655425050,6
1655425080,6
1655425110,6
1655425141,0
1655425650,0
1655425680,0
