t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655423430,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423460,40,1.257607,0.000000,0.000000,0.000000,events/second
1655423490,51,0.824834,0.000000,0.000000,0.000000,events/second
1655423550,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423581,32,0.938701,0.000000,0.000000,0.000000,events/second
1655423640,34,2.646866,0.000000,0.000000,0.000000,events/second
1655423790,31,4.540550,0.000000,0.000000,0.000000,events/second
1655423821,54,1.428782,0.000000,0.000000,0.000000,events/second
1655423851,60,0.884297,0.000000,0.000000,0.000000,events/second
1655423881,70,0.715167,0.000000,0.000000,0.000000,events/second
1655423911,90,0.703662,0.000000,0.000000,0.000000,events/second
1655423941,97,0.614249,0.000000,0.000000,0.000000,events/second
1655423971,103,0.548049,0.000000,0.000000,0.000000,events/second
1655424001,106,0.486351,0.000000,0.000000,0.000000,events/second
1655424031,112,0.451653,0.000000,0.000000,0.000000,events/second
1655424061,115,0.413690,0.000000,0.000000,0.000000,events/second
1655424091,121,0.392860,0.000000,0.000000,0.000000,events/second
1655424121,124,0.366844,0.000000,0.000000,0.000000,events/second
1655424151,130,0.353228,0.000000,0.000000,0.000000,events/second
1655424181,133,0.334129,0.000000,0.000000,0.000000,events/second
1655424211,139,0.324720,0.000000,0.000000,0.000000,events/second
1655424241,142,0.309987,0.000000,0.000000,0.000000,events/second
1655424271,148,0.303212,0.000000,0.000000,0.000000,events/second
1655424301,151,0.291440,0.000000,0.000000,0.000000,events/second
1655424332,157,0.286429,0.000000,0.000000,0.000000,events/second
1655424362,160,0.276751,0.000000,0.000000,0.000000,events/second
1655424392,166,0.272952,0.000000,0.000000,0.000000,events/second
1655424422,169,0.264813,0.000000,0.000000,0.000000,events/second
1655424452,175,0.261894,0.000000,0.000000,0.000000,events/second
1655424482,181,0.259228,0.000000,0.000000,0.000000,events/second
1655424512,190,0.260905,0.000000,0.000000,0.000000,events/second
1655424542,196,0.258488,0.000000,0.000000,0.000000,events/second
1655424572,205,0.260059,0.000000,0.000000,0.000000,events/second
1655424602,212,0.259069,0.000000,0.000000,0.000000,events/second
1655424632,216,0.254619,0.000000,0.000000,0.000000,events/second
1655424662,216,0.245915,0.000000,0.000000,0.000000,events/second
1655424930,27,1.213832,0.000000,0.000000,0.000000,events/second
1655424960,31,0.588940,0.000000,0.000000,0.000000,events/second
1655424990,39,0.471769,0.000000,0.000000,0.000000,events/second
1655425020,43,0.381581,0.000000,0.000000,0.000000,events/second
1655425050,48,0.336326,0.000000,0.000000,0.000000,events/second
1655425080,52,0.301047,0.000000,0.000000,0.000000,events/second
1655425110,57,0.281102,0.000000,0.000000,0.000000,events/second
1655425141,66,0.283535,0.000000,0.000000,0.000000,events/second
1655425650,9,0.300590,0.000000,0.000000,0.000000,events/second
1655425680,9,0.149026,0.000000,0.000000,0.000000,events/second
