t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655423430,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423460,229,7.200390,0.000000,0.000000,0.000000,events/second
1655423490,325,5.256512,0.000000,0.000000,0.000000,events/second
1655423550,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423581,181,5.310148,0.000000,0.000000,0.000000,events/second
1655423640,201,15.628023,0.000000,0.000000,0.000000,events/second
1655423790,146,21.339102,0.000000,0.000000,0.000000,events/second
1655423821,306,8.096598,0.000000,0.000000,0.000000,events/second
1655423851,367,5.409082,0.000000,0.000000,0.000000,events/second
1655423881,497,5.077774,0.000000,0.000000,0.000000,events/second
1655423911,597,4.667689,0.000000,0.000000,0.000000,events/second
1655423941,644,4.078151,0.000000,0.000000,0.000000,events/second
1655423971,690,3.671431,0.000000,0.000000,0.000000,events/second
1655424001,713,3.271427,0.000000,0.000000,0.000000,events/second
1655424031,759,3.060777,0.000000,0.000000,0.000000,events/second
1655424061,782,2.813113,0.000000,0.000000,0.000000,events/second
1655424091,828,2.688347,0.000000,0.000000,0.000000,events/second
1655424121,851,2.517632,0.000000,0.000000,0.000000,events/second
1655424151,897,2.437287,0.000000,0.000000,0.000000,events/second
1655424181,920,2.311276,0.000000,0.000000,0.000000,events/second
1655424211,966,2.256698,0.000000,0.000000,0.000000,events/second
1655424241,989,2.159000,0.000000,0.000000,0.000000,events/second
1655424271,1035,2.120446,0.000000,0.000000,0.000000,events/second
1655424301,1083,2.090266,0.000000,0.000000,0.000000,events/second
1655424332,1134,2.068863,0.000000,0.000000,0.000000,events/second
1655424362,1157,2.001262,0.000000,0.000000,0.000000,events/second
1655424392,1203,1.978087,0.000000,0.000000,0.000000,events/second
1655424422,1251,1.960248,0.000000,0.000000,0.000000,events/second
1655424452,1362,2.038290,0.000000,0.000000,0.000000,events/second
1655424482,1413,2.023704,0.000000,0.000000,0.000000,events/second
1655424512,1492,2.048794,0.000000,0.000000,0.000000,events/second
1655424542,1558,2.054719,0.000000,0.000000,0.000000,events/second
1655424572,1637,2.076671,0.000000,0.000000,0.000000,events/second
1655424602,1680,2.053003,0.000000,0.000000,0.000000,events/second
1655424632,1713,2.019271,0.000000,0.000000,0.000000,events/second
1655424662,1729,1.968461,0.000000,0.000000,0.000000,events/second
1655424930,159,7.146531,0.000000,0.000000,0.000000,events/second
1655424960,263,4.996686,0.000000,0.000000,0.000000,events/second
1655424990,331,4.004094,0.000000,0.000000,0.000000,events/second
1655425020,365,3.239058,0.000000,0.000000,0.000000,events/second
1655425050,400,2.802759,0.000000,0.000000,0.000000,events/second
1655425080,434,2.512620,0.000000,0.000000,0.000000,events/second
1655425110,469,2.312955,0.000000,0.000000,0.000000,events/second
1655425141,542,2.328443,0.000000,0.000000,0.000000,events/second
1655425650,66,2.203748,0.000000,0.000000,0.000000,events/second
1655425680,66,1.092898,0.000000,0.000000,0.000000,events/second
