t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655423430,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423460,198,6.225738,0.000000,0.000000,0.000000,events/second
1655423490,274,4.431667,0.000000,0.000000,0.000000,events/second
1655423550,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423581,149,4.371391,0.000000,0.000000,0.000000,events/second
1655423640,167,12.955922,0.000000,0.000000,0.000000,events/second
1655423790,126,18.309944,0.000000,0.000000,0.000000,events/second
1655423821,267,7.064620,0.000000,0.000000,0.000000,events/second
1655423851,322,4.745871,0.000000,0.000000,0.000000,events/second
1655423881,442,4.515872,0.000000,0.000000,0.000000,events/second
1655423911,528,4.128225,0.000000,0.000000,0.000000,events/second
1655423941,568,3.596891,0.000000,0.000000,0.000000,events/second
1655423971,608,3.235126,0.000000,0.000000,0.000000,events/second
1655424001,628,2.881432,0.000000,0.000000,0.000000,events/second
1655424031,668,2.693812,0.000000,0.000000,0.000000,events/second
1655424061,688,2.474969,0.000000,0.000000,0.000000,events/second
1655424091,728,2.363671,0.000000,0.000000,0.000000,events/second
1655424121,748,2.212916,0.000000,0.000000,0.000000,events/second
1655424151,788,2.141120,0.000000,0.000000,0.000000,events/second
1655424181,808,2.029906,0.000000,0.000000,0.000000,events/second
1655424211,848,1.981038,0.000000,0.000000,0.000000,events/second
1655424241,868,1.894858,0.000000,0.000000,0.000000,events/second
1655424271,908,1.860259,0.000000,0.000000,0.000000,events/second
1655424301,953,1.839359,0.000000,0.000000,0.000000,events/second
1655424332,998,1.820747,0.000000,0.000000,0.000000,events/second
1655424362,1018,1.760835,0.000000,0.000000,0.000000,events/second
1655424392,1058,1.739665,0.000000,0.000000,0.000000,events/second
1655424422,1103,1.728341,0.000000,0.000000,0.000000,events/second
1655424452,1208,1.807824,0.000000,0.000000,0.000000,events/second
1655424482,1253,1.794553,0.000000,0.000000,0.000000,events/second
1655424512,1323,1.816727,0.000000,0.000000,0.000000,events/second
1655424542,1383,1.823927,0.000000,0.000000,0.000000,events/second
1655424572,1453,1.843253,0.000000,0.000000,0.000000,events/second
1655424602,1493,1.824486,0.000000,0.000000,0.000000,events/second
1655424632,1526,1.798838,0.000000,0.000000,0.000000,events/second
1655424662,1542,1.755563,0.000000,0.000000,0.000000,events/second
1655424930,138,6.200590,0.000000,0.000000,0.000000,events/second
1655424960,238,4.521723,0.000000,0.000000,0.000000,events/second
1655424990,298,3.604901,0.000000,0.000000,0.000000,events/second
1655425020,328,2.910721,0.000000,0.000000,0.000000,events/second
1655425050,358,2.508474,0.000000,0.000000,0.000000,events/second
1655425080,388,2.246310,0.000000,0.000000,0.000000,events/second
1655425110,418,2.061443,0.000000,0.000000,0.000000,events/second
1655425141,482,2.070685,0.000000,0.000000,0.000000,events/second
1655425650,57,1.902665,0.000000,0.000000,0.000000,events/second
1655425680,57,0.943873,0.000000,0.000000,0.000000,events/second
