t,value
1655423430,9223372036854775807
1655423460,9223372036854761663
1655423490,9223372036854774511
1655423550,9223372036854775807
1655423581,9223372036854774511
1655423640,9223372036854762495
1655423790,9223372036854761711
1655423821,9223372036854766655
1655423851,9223372036854765375
1655423881,9223372036854762687
1655423911,9223372036854766975
1655423941,9223372036854766079
1655423971,9223372036854765183
1655424001,9223372036854764735
1655424031,9223372036854763839
1655424061,9223372036854763391
1655424091,9223372036854762495
1655424121,9223372036854762047
1655424151,9223372036854761151
1655424181,9223372036854760703
1655424211,9223372036854759807
1655424241,9223372036854759359
1655424271,9223372036854758463
1655424301,9223372036854757439
1655424332,9223372036854756479
1655424362,9223372036854756031
1655424392,9223372036854755071
1655424422,9223372036854754111
1655424452,9223372036854751743
1655424482,9223372036854750783
1655424512,9223372036854749183
1655424542,9223372036854747839
1655424572,9223372036854746239
1655424602,9223372036854770559
1655424632,9223372036854764991
1655424662,9223372036854764607
1655424930,9223372036854766847
1655424960,9223372036854764607
1655424990,9223372036854763263
1655425020,9223372036854762559
1655425050,9223372036854761983
1655425080,9223372036854761279
1655425110,9223372036854760575
1655425141,9223372036854775807
1655425650,9223372036854775807
1655425680,9223372036854775807
