t,value
1655423430,9223372036854775807
1655423460,9223372036854775807
1655423490,9223372036854775807
1655423550,9223372036854775807
1655423581,9223372036854775807
1655423640,9223372036854775807
1655423790,9223372036854775807
1655423821,9223372036854775807
1655423851,9223372036854775807
1655423881,9223372036854775807
1655423911,9223372036854775807
1655423941,9223372036854775807
1655423971,9223372036854775807
1655424001,9223372036854775807
1655424031,9223372036854775807
1655424061,9223372036854775807
1655424091,9223372036854775807
1655424121,9223372036854775807
1655424151,9223372036854775807
1655424181,9223372036854775807
1655424211,9223372036854775807
1655424241,9223372036854775807
1655424271,9223372036854775807
1655424301,9223372036854775807
1655424332,9223372036854775807
1655424362,9223372036854775807
1655424392,9223372036854775807
1655424422,9223372036854775807
1655424452,9223372036854775807
1655424482,9223372036854775807
1655424512,9223372036854775807
1655424542,9223372036854775807
1655424572,9223372036854775807
1655424602,9223372036854775807
1655424632,9223372036854775807
1655424662,9223372036854775807
1655424930,9223372036854775807
1655424960,9223372036854775807
1655424990,9223372036854775807
1655425020,9223372036854775807
1655425050,9223372036854775807
1655425080,9223372036854775807
1655425110,9223372036854775807
1655425141,9223372036854775807
1655425650,9223372036854775807
1655425680,9223372036854775807
