t,value
1655423430,16777216
1655423460,167786304
1655423490,167773456
1655423550,33554432
1655423581,167773456
1655423640,167785472
1655423790,167786256
1655423821,167781312
1655423851,167782592
1655423881,167785280
1655423911,167780992
1655423941,167781888
1655423971,167782784
1655424001,167783232
1655424031,167784128
1655424061,167784576
1655424091,167785472
1655424121,167785920
1655424151,167786816
1655424181,167787264
1655424211,167788160
1655424241,167788608
1655424271,167789504
1655424301,167790528
1655424332,167791488
1655424362,167791936
1655424392,167792896
1655424422,167793856
1655424452,167796224
1655424482,167797184
1655424512,167798784
1655424542,167800128
1655424572,167801728
1655424602,167777408
1655424632,167782976
1655424662,167783360
1655424930,167781120
1655424960,167783360
1655424990,167784704
1655425020,167785408
1655425050,167785984
1655425080,167786688
1655425110,167787392
1655425141,167772160
1655425650,167772160
1655425680,167772160
