t,value
1655423430,0
1655423460,14144
1655423490,1296
1655423550,0
1655423581,1296
1655423640,13312
1655423790,14096
1655423821,9152
1655423851,10432
1655423881,13120
1655423911,8832
1655423941,9728
1655423971,10624
1655424001,11072
1655424031,11968
1655424061,12416
1655424091,13312
1655424121,13760
1655424151,14656
1655424181,15104
1655424211,16000
1655424241,16448
1655424271,17344
1655424301,18368
1655424332,19328
1655424362,19776
1655424392,20736
1655424422,21696
1655424452,24064
1655424482,25024
1655424512,26624
1655424542,27968
1655424572,29568
1655424602,5248
1655424632,10816
1655424662,11200
1655424930,8960
1655424960,11200
1655424990,12544
1655425020,13248
1655425050,13824
1655425080,14528
1655425110,15232
1655425141,0
1655425650,0
1655425680,0
