t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655423430,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423460,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423490,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423550,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423581,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423640,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423790,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423821,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423851,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423881,1,0.008239,0.000000,0.000000,0.000000,events/second
1655423911,1,0.006605,0.000000,0.000000,0.000000,events/second
1655423941,1,0.005512,0.000000,0.000000,0.000000,events/second
1655423971,1,0.004730,0.000000,0.000000,0.000000,events/second
1655424001,1,0.004142,0.000000,0.000000,0.000000,events/second
1655424031,1,0.003684,0.000000,0.000000,0.000000,events/second
1655424061,1,0.003317,0.000000,0.000000,0.000000,events/second
1655424091,1,0.003017,0.000000,0.000000,0.000000,events/second
1655424121,1,0.002766,0.000000,0.000000,0.000000,events/second
1655424151,1,0.002554,0.000000,0.000000,0.000000,events/second
1655424181,1,0.002372,0.000000,0.000000,0.000000,events/second
1655424211,1,0.002215,0.000000,0.000000,0.000000,events/second
1655424241,1,0.002076,0.000000,0.000000,0.000000,events/second
1655424271,1,0.001955,0.000000,0.000000,0.000000,events/second
1655424301,1,0.001846,0.000000,0.000000,0.000000,events/second
1655424332,1,0.001749,0.000000,0.000000,0.000000,events/second
1655424362,1,0.001662,0.000000,0.000000,0.000000,events/second
1655424392,1,0.001583,0.000000,0.000000,0.000000,events/second
1655424422,1,0.001511,0.000000,0.000000,0.000000,events/second
1655424452,1,0.001446,0.000000,0.000000,0.000000,events/second
1655424482,1,0.001386,0.000000,0.000000,0.000000,events/second
1655424512,1,0.001330,0.000000,0.000000,0.000000,events/second
1655424542,1,0.001279,0.000000,0.000000,0.000000,events/second
1655424572,1,0.001232,0.000000,0.000000,0.000000,events/second
1655424602,1,0.001188,0.000000,0.000000,0.000000,events/second
1655424632,1,0.001147,0.000000,0.000000,0.000000,events/second
1655424662,1,0.001109,0.000000,0.000000,0.000000,events/second
1655424930,0,0.000000,0.000000,0.000000,0.000000,events/second
1655424960,0,0.000000,0.000000,0.000000,0.000000,events/second
1655424990,0,0.000000,0.000000,0.000000,0.000000,events/second
1655425020,0,0.000000,0.000000,0.000000,0.000000,events/second
1655425050,0,0.000000,0.000000,0.000000,0.000000,events/second
1655425080,0,0.000000,0.000000,0.000000,0.000000,events/second
1655425110,0,0.000000,0.000000,0.000000,0.000000,events/second
1655425650,0,0.000000,0.000000,0.000000,0.000000,events/second
1655425680,0,0.000000,0.000000,0.000000,0.000000,events/second
