t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1655423430,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1655423460,12,1672,323.666667,17,627.090878,50.000000,113.000000,1672.000000,1672.000000,1672.000000,1672.000000
1655423490,16,1672,278.125000,17,552.131370,42.500000,113.000000,1672.000000,1672.000000,1672.000000,1672.000000
1655423550,2,3837,2013.500000,190,2578.818431,2013.500000,3837.000000,3837.000000,3837.000000,3837.000000,3837.000000
1655423581,10,3837,1095.700000,35,1441.289550,205.000000,2751.750000,3837.000000,3837.000000,3837.000000,3837.000000
1655423640,10,2170,635.600000,38,943.741396,52.500000,1864.250000,2170.000000,2170.000000,2170.000000,2170.000000
1655423790,6,2760,977.666667,53,1101.297356,763.500000,1779.750000,2760.000000,2760.000000,2760.000000,2760.000000
1655423821,14,2760,453.071429,4,830.258390,77.000000,431.750000,2760.000000,2760.000000,2760.000000,2760.000000
1655423851,17,2760,378.529412,4,766.578365,73.000000,96.000000,2760.000000,2760.000000,2760.000000,2760.000000
1655423881,26,2760,309.884615,2,631.098428,74.500000,175.250000,2302.550000,2760.000000,2760.000000,2760.000000
1655423911,28,2760,290.678571,2,611.434019,74.500000,116.750000,2171.850000,2760.000000,2760.000000,2760.000000
1655423941,28,2760,290.678571,2,611.434019,74.500000,116.750000,2171.850000,2760.000000,2760.000000,2760.000000
1655423971,28,2760,290.678571,2,611.434019,74.500000,116.750000,2171.850000,2760.000000,2760.000000,2760.000000
1655424001,28,2760,290.678571,2,611.434019,74.500000,116.750000,2171.850000,2760.000000,2760.000000,2760.000000
1655424031,28,2760,290.678571,2,611.434019,74.500000,116.750000,2171.850000,2760.000000,2760.000000,2760.000000
1655424061,28,2760,290.678571,2,611.434019,74.500000,116.750000,2171.850000,2760.000000,2760.000000,2760.000000
1655424091,28,2760,290.678571,2,611.434019,74.500000,116.750000,2171.850000,2760.000000,2760.000000,2760.000000
1655424121,28,2760,290.678571,2,611.434019,74.500000,116.750000,2171.850000,2760.000000,2760.000000,2760.000000
1655424151,28,2760,290.678571,2,611.434019,74.500000,116.750000,2171.850000,2760.000000,2760.000000,2760.000000
1655424181,28,2760,290.678571,2,611.434019,74.500000,116.750000,2171.850000,2760.000000,2760.000000,2760.000000
1655424211,28,2760,290.678571,2,611.434019,74.500000,116.750000,2171.850000,2760.000000,2760.000000,2760.000000
1655424241,28,2760,290.678571,2,611.434019,74.500000,116.750000,2171.850000,2760.000000,2760.000000,2760.000000
1655424271,28,2760,290.678571,2,611.434019,74.500000,116.750000,2171.850000,2760.000000,2760.000000,2760.000000
1655424301,28,2760,290.678571,2,611.434019,74.500000,116.750000,2171.850000,2760.000000,2760.000000,2760.000000
1655424332,28,2760,290.678571,2,611.434019,74.500000,116.750000,2171.850000,2760.000000,2760.000000,2760.000000
1655424362,28,2760,290.678571,2,611.434019,74.500000,116.750000,2171.850000,2760.000000,2760.000000,2760.000000
1655424392,28,2760,290.678571,2,611.434019,74.500000,116.750000,2171.850000,2760.000000,2760.000000,2760.000000
1655424422,28,2760,290.678571,2,611.434019,74.500000,116.750000,2171.850000,2760.000000,2760.000000,2760.000000
1655424452,28,2760,290.678571,2,611.434019,74.500000,116.750000,2171.850000,2760.000000,2760.000000,2760.000000
1655424482,28,2760,290.678571,2,611.434019,74.500000,116.750000,2171.850000,2760.000000,2760.000000,2760.000000
1655424512,28,2760,290.678571,2,611.434019,74.500000,116.750000,2171.850000,2760.000000,2760.000000,2760.000000
1655424542,28,2760,290.678571,2,611.434019,74.500000,116.750000,2171.850000,2760.000000,2760.000000,2760.000000
1655424572,28,2760,290.678571,2,611.434019,74.500000,116.750000,2171.850000,2760.000000,2760.000000,2760.000000
1655424602,32,2760,264.031250,2,575.113648,75.500000,97.000000,1910.450000,2760.000000,2760.000000,2760.000000
1655424632,39,2760,219.076923,1,528.617780,66.000000,91.000000,1453.000000,2760.000000,2760.000000,2760.000000
1655424662,43,2760,202.581395,1,505.978601,64.000000,91.000000,1449.000000,2760.000000,2760.000000,2760.000000
1655424930,10,3046,413.400000,34,937.043483,77.000000,217.500000,3046.000000,3046.000000,3046.000000,3046.000000
1655424960,10,3046,413.400000,34,937.043483,77.000000,217.500000,3046.000000,3046.000000,3046.000000,3046.000000
1655424990,10,3046,413.400000,34,937.043483,77.000000,217.500000,3046.000000,3046.000000,3046.000000,3046.000000
1655425020,10,3046,413.400000,34,937.043483,77.000000,217.500000,3046.000000,3046.000000,3046.000000,3046.000000
1655425050,10,3046,413.400000,34,937.043483,77.000000,217.500000,3046.000000,3046.000000,3046.000000,3046.000000
1655425080,10,3046,413.400000,34,937.043483,77.000000,217.500000,3046.000000,3046.000000,3046.000000,3046.000000
1655425110,10,3046,413.400000,34,937.043483,77.000000,217.500000,3046.000000,3046.000000,3046.000000,3046.000000
1655425650,8,2628,388.375000,35,905.390671,80.000000,104.250000,2628.000000,2628.000000,2628.000000,2628.000000
1655425680,8,2628,388.375000,35,905.390671,80.000000,104.250000,2628.000000,2628.000000,2628.000000,2628.000000
