t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655423430,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423460,12,0.363953,0.152538,0.037848,0.013089,events/second
1655423490,16,0.253986,0.119591,0.040641,0.014852,events/second
1655423550,2,0.100405,0.169296,0.193443,0.197790,events/second
1655423581,10,0.197917,0.207023,0.200405,0.200048,events/second
1655423640,12,0.400066,0.221983,0.203575,0.201139,events/second
1655423790,9,0.290641,0.210525,0.200483,0.200055,events/second
1655423821,14,0.226727,0.220367,0.206155,0.202166,events/second
1655423851,17,0.185185,0.167197,0.195764,0.198783,events/second
1655423881,26,0.213415,0.178645,0.196111,0.198817,events/second
1655423911,28,0.184391,0.170683,0.193129,0.197742,events/second
1655423941,28,0.153960,0.103525,0.174751,0.191259,events/second
1655423971,28,0.132145,0.062791,0.158121,0.184989,events/second
1655424001,28,0.115751,0.038085,0.143074,0.178924,events/second
1655424031,28,0.102969,0.023099,0.129458,0.173059,events/second
1655424061,28,0.092735,0.014011,0.117139,0.167385,events/second
1655424091,28,0.084351,0.008498,0.105992,0.161898,events/second
1655424121,28,0.077355,0.005154,0.095905,0.156590,events/second
1655424151,28,0.071432,0.003126,0.086779,0.151456,events/second
1655424181,28,0.066351,0.001896,0.078520,0.146491,events/second
1655424211,28,0.061946,0.001150,0.071048,0.141688,events/second
1655424241,28,0.058087,0.000698,0.064287,0.137043,events/second
1655424271,28,0.054682,0.000423,0.058169,0.132550,events/second
1655424301,28,0.051654,0.000257,0.052634,0.128205,events/second
1655424332,28,0.048944,0.000156,0.047625,0.124002,events/second
1655424362,28,0.046505,0.000094,0.043093,0.119937,events/second
1655424392,28,0.044296,0.000057,0.038992,0.116005,events/second
1655424422,28,0.042287,0.000035,0.035282,0.112202,events/second
1655424452,28,0.040453,0.000021,0.031924,0.108523,events/second
1655424482,28,0.038772,0.000013,0.028886,0.104965,events/second
1655424512,28,0.037225,0.000008,0.026137,0.101524,events/second
1655424542,28,0.035796,0.000005,0.023650,0.098196,events/second
1655424572,28,0.034473,0.000003,0.021399,0.094977,events/second
1655424602,32,0.037993,0.047975,0.029280,0.095187,events/second
1655424632,39,0.044711,0.119847,0.051183,0.100730,events/second
1655424662,43,0.047656,0.114859,0.058478,0.101738,events/second
1655424930,10,0.216352,0.224784,0.203813,0.201168,events/second
1655424960,10,0.130607,0.136338,0.184418,0.194573,events/second
1655424990,10,0.093812,0.082693,0.166868,0.188194,events/second
1655425020,10,0.073197,0.050156,0.150989,0.182024,events/second
1655425050,10,0.060007,0.030421,0.136620,0.176057,events/second
1655425080,10,0.050850,0.018451,0.123619,0.170285,events/second
1655425110,10,0.044111,0.011191,0.111855,0.164702,events/second
1655425650,8,0.130501,0.159261,0.188095,0.195723,events/second
1655425680,8,0.087242,0.096597,0.170195,0.189307,events/second
