t,value
1655423430,0
1655423460,0
1655423490,0
1655423550,0
1655423581,0
1655423640,0
1655423790,0
1655423821,0
1655423851,0
1655423881,18
1655423911,18
1655423941,18
1655423971,18
1655424001,18
1655424031,18
1655424061,18
1655424091,18
1655424121,18
1655424151,18
1655424181,18
1655424211,18
1655424241,18
1655424271,18
1655424301,18
1655424332,18
1655424362,18
1655424392,18
1655424422,18
1655424452,18
1655424482,18
1655424512,18
1655424542,18
1655424572,18
1655424602,18
1655424632,18
1655424662,18
1655424930,18
1655424960,18
1655424990,18
1655425020,18
1655425050,18
1655425080,18
1655425110,18
1655425650,18
1655425680,18
