t,value
1655423430,8
1655423460,8
1655423490,8
1655423550,8
1655423581,8
1655423640,8
1655423790,8
1655423821,8
1655423851,8
1655423881,116
1655423911,116
1655423941,116
1655423971,116
1655424001,116
1655424031,116
1655424061,116
1655424091,116
1655424121,116
1655424151,116
1655424181,116
1655424211,116
1655424241,116
1655424271,116
1655424301,116
1655424332,116
1655424362,116
1655424392,116
1655424422,116
1655424452,116
1655424482,116
1655424512,116
1655424542,116
1655424572,116
1655424602,116
1655424632,116
1655424662,116
1655424930,116
1655424960,116
1655424990,116
1655425020,116
1655425050,116
1655425080,116
1655425110,116
1655425650,116
1655425680,116
