t,value
1655423430,0
1655423460,0
1655423490,0
1655423550,0
1655423581,0
1655423640,0
1655423790,0
1655423821,0
1655423851,0
1655423881,72
1655423911,72
1655423941,72
1655423971,72
1655424001,72
1655424031,72
1655424061,72
1655424091,72
1655424121,72
1655424151,72
1655424181,72
1655424211,72
1655424241,72
1655424271,72
1655424301,72
1655424332,72
1655424362,72
1655424392,72
1655424422,72
1655424452,72
1655424482,72
1655424512,72
1655424542,72
1655424572,72
1655424602,72
1655424632,72
1655424662,72
1655424930,72
1655424960,72
1655424990,72
1655425020,72
1655425050,72
1655425080,72
1655425110,72
1655425650,72
1655425680,72
