t,value
1655423430,770048
1655423460,770048
1655423490,770048
1655423550,872720
1655423581,872720
1655423640,872912
1655423790,873104
1655423821,873104
1655423851,873104
1655423881,873104
1655423911,873104
1655423941,873104
1655423971,873104
1655424001,873104
1655424031,873104
1655424061,873104
1655424091,873104
1655424121,873104
1655424151,873104
1655424181,873104
1655424211,873104
1655424241,873104
1655424271,873104
1655424301,873104
1655424332,873104
1655424362,891017
1655424392,891017
1655424422,891017
1655424452,891017
1655424482,891017
1655424512,891017
1655424542,891017
1655424572,891017
1655424602,891017
1655424632,891017
1655424662,891017
1655424930,948553
1655424960,948553
1655424990,948553
1655425020,948553
1655425050,948553
1655425080,948553
1655425110,948553
1655425650,948745
1655425680,948745
