t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655423430,2,0.776524,0.000000,0.000000,0.000000,events/second
1655423460,8,0.244237,0.000000,0.000000,0.000000,events/second
1655423490,12,0.191145,0.000000,0.000000,0.000000,events/second
1655423550,2,0.103522,0.000000,0.000000,0.000000,events/second
1655423581,10,0.200395,0.000000,0.000000,0.000000,events/second
1655423640,6,0.202615,0.000000,0.000000,0.000000,events/second
1655423790,6,0.196468,0.000000,0.000000,0.000000,events/second
1655423821,8,0.130511,0.000000,0.000000,0.000000,events/second
1655423851,11,0.120417,0.000000,0.000000,0.000000,events/second
1655423881,26,0.214208,0.000000,0.000000,0.000000,events/second
1655423911,28,0.184941,0.000000,0.000000,0.000000,events/second
1655423941,28,0.154343,0.000000,0.000000,0.000000,events/second
1655423971,28,0.132427,0.000000,0.000000,0.000000,events/second
1655424001,28,0.115967,0.000000,0.000000,0.000000,events/second
1655424031,28,0.103140,0.000000,0.000000,0.000000,events/second
1655424061,28,0.092874,0.000000,0.000000,0.000000,events/second
1655424091,28,0.084466,0.000000,0.000000,0.000000,events/second
1655424121,28,0.077452,0.000000,0.000000,0.000000,events/second
1655424151,28,0.071514,0.000000,0.000000,0.000000,events/second
1655424181,28,0.066422,0.000000,0.000000,0.000000,events/second
1655424211,28,0.062008,0.000000,0.000000,0.000000,events/second
1655424241,28,0.058142,0.000000,0.000000,0.000000,events/second
1655424271,28,0.054730,0.000000,0.000000,0.000000,events/second
1655424301,28,0.051697,0.000000,0.000000,0.000000,events/second
1655424332,28,0.048983,0.000000,0.000000,0.000000,events/second
1655424362,28,0.046540,0.000000,0.000000,0.000000,events/second
1655424392,28,0.044327,0.000000,0.000000,0.000000,events/second
1655424422,28,0.042316,0.000000,0.000000,0.000000,events/second
1655424452,28,0.040480,0.000000,0.000000,0.000000,events/second
1655424482,28,0.038796,0.000000,0.000000,0.000000,events/second
1655424512,28,0.037247,0.000000,0.000000,0.000000,events/second
1655424542,28,0.035817,0.000000,0.000000,0.000000,events/second
1655424572,28,0.034492,0.000000,0.000000,0.000000,events/second
1655424602,32,0.038013,0.000000,0.000000,0.000000,events/second
1655424632,39,0.044734,0.000000,0.000000,0.000000,events/second
1655424662,43,0.047680,0.000000,0.000000,0.000000,events/second
1655424930,4,0.087341,0.000000,0.000000,0.000000,events/second
1655424960,4,0.052540,0.000000,0.000000,0.000000,events/second
1655424990,4,0.037678,0.000000,0.000000,0.000000,events/second
1655425020,4,0.029372,0.000000,0.000000,0.000000,events/second
1655425050,4,0.024065,0.000000,0.000000,0.000000,events/second
1655425080,4,0.020385,0.000000,0.000000,0.000000,events/second
1655425110,4,0.017678,0.000000,0.000000,0.000000,events/second
1655425650,2,0.033819,0.000000,0.000000,0.000000,events/second
1655425680,2,0.022340,0.000000,0.000000,0.000000,events/second
