t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655423430,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423460,6,0.183177,0.000000,0.000000,0.000000,events/second
1655423490,10,0.159287,0.000000,0.000000,0.000000,events/second
1655423550,2,0.103156,0.000000,0.000000,0.000000,events/second
1655423581,10,0.200394,0.000000,0.000000,0.000000,events/second
1655423640,6,0.202523,0.000000,0.000000,0.000000,events/second
1655423790,6,0.196337,0.000000,0.000000,0.000000,events/second
1655423821,8,0.130509,0.000000,0.000000,0.000000,events/second
1655423851,11,0.120417,0.000000,0.000000,0.000000,events/second
1655423881,19,0.156537,0.000000,0.000000,0.000000,events/second
1655423911,21,0.138706,0.000000,0.000000,0.000000,events/second
1655423941,21,0.115757,0.000000,0.000000,0.000000,events/second
1655423971,21,0.099320,0.000000,0.000000,0.000000,events/second
1655424001,21,0.086975,0.000000,0.000000,0.000000,events/second
1655424031,21,0.077355,0.000000,0.000000,0.000000,events/second
1655424061,21,0.069656,0.000000,0.000000,0.000000,events/second
1655424091,21,0.063349,0.000000,0.000000,0.000000,events/second
1655424121,21,0.058089,0.000000,0.000000,0.000000,events/second
1655424151,21,0.053635,0.000000,0.000000,0.000000,events/second
1655424181,21,0.049816,0.000000,0.000000,0.000000,events/second
1655424211,21,0.046506,0.000000,0.000000,0.000000,events/second
1655424241,21,0.043606,0.000000,0.000000,0.000000,events/second
1655424271,21,0.041047,0.000000,0.000000,0.000000,events/second
1655424301,21,0.038773,0.000000,0.000000,0.000000,events/second
1655424332,21,0.036737,0.000000,0.000000,0.000000,events/second
1655424362,21,0.034905,0.000000,0.000000,0.000000,events/second
1655424392,21,0.033246,0.000000,0.000000,0.000000,events/second
1655424422,21,0.031737,0.000000,0.000000,0.000000,events/second
1655424452,21,0.030360,0.000000,0.000000,0.000000,events/second
1655424482,21,0.029097,0.000000,0.000000,0.000000,events/second
1655424512,21,0.027935,0.000000,0.000000,0.000000,events/second
1655424542,21,0.026863,0.000000,0.000000,0.000000,events/second
1655424572,21,0.025869,0.000000,0.000000,0.000000,events/second
1655424602,25,0.029698,0.000000,0.000000,0.000000,events/second
1655424632,32,0.036705,0.000000,0.000000,0.000000,events/second
1655424662,36,0.039918,0.000000,0.000000,0.000000,events/second
1655424930,4,0.087325,0.000000,0.000000,0.000000,events/second
1655424960,4,0.052540,0.000000,0.000000,0.000000,events/second
1655424990,4,0.037678,0.000000,0.000000,0.000000,events/second
1655425020,4,0.029372,0.000000,0.000000,0.000000,events/second
1655425050,4,0.024065,0.000000,0.000000,0.000000,events/second
1655425080,4,0.020385,0.000000,0.000000,0.000000,events/second
1655425110,4,0.017678,0.000000,0.000000,0.000000,events/second
1655425650,2,0.033814,0.000000,0.000000,0.000000,events/second
1655425680,2,0.022339,0.000000,0.000000,0.000000,events/second
