t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655423430,2,0.771772,0.000000,0.000000,0.000000,events/second
1655423460,2,0.061059,0.000000,0.000000,0.000000,events/second
1655423490,2,0.031857,0.000000,0.000000,0.000000,events/second
1655423550,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423581,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423640,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423790,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423821,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423851,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423881,7,0.057671,0.000000,0.000000,0.000000,events/second
1655423911,7,0.046235,0.000000,0.000000,0.000000,events/second
1655423941,7,0.038586,0.000000,0.000000,0.000000,events/second
1655423971,7,0.033107,0.000000,0.000000,0.000000,events/second
1655424001,7,0.028992,0.000000,0.000000,0.000000,events/second
1655424031,7,0.025785,0.000000,0.000000,0.000000,events/second
1655424061,7,0.023219,0.000000,0.000000,0.000000,events/second
1655424091,7,0.021116,0.000000,0.000000,0.000000,events/second
1655424121,7,0.019363,0.000000,0.000000,0.000000,events/second
1655424151,7,0.017878,0.000000,0.000000,0.000000,events/second
1655424181,7,0.016605,0.000000,0.000000,0.000000,events/second
1655424211,7,0.015502,0.000000,0.000000,0.000000,events/second
1655424241,7,0.014535,0.000000,0.000000,0.000000,events/second
1655424271,7,0.013682,0.000000,0.000000,0.000000,events/second
1655424301,7,0.012924,0.000000,0.000000,0.000000,events/second
1655424332,7,0.012246,0.000000,0.000000,0.000000,events/second
1655424362,7,0.011635,0.000000,0.000000,0.000000,events/second
1655424392,7,0.011082,0.000000,0.000000,0.000000,events/second
1655424422,7,0.010579,0.000000,0.000000,0.000000,events/second
1655424452,7,0.010120,0.000000,0.000000,0.000000,events/second
1655424482,7,0.009699,0.000000,0.000000,0.000000,events/second
1655424512,7,0.009312,0.000000,0.000000,0.000000,events/second
1655424542,7,0.008954,0.000000,0.000000,0.000000,events/second
1655424572,7,0.008623,0.000000,0.000000,0.000000,events/second
1655424602,7,0.008315,0.000000,0.000000,0.000000,events/second
1655424632,7,0.008029,0.000000,0.000000,0.000000,events/second
1655424662,7,0.007762,0.000000,0.000000,0.000000,events/second
1655424930,0,0.000000,0.000000,0.000000,0.000000,events/second
1655424960,0,0.000000,0.000000,0.000000,0.000000,events/second
1655424990,0,0.000000,0.000000,0.000000,0.000000,events/second
1655425020,0,0.000000,0.000000,0.000000,0.000000,events/second
1655425050,0,0.000000,0.000000,0.000000,0.000000,events/second
1655425080,0,0.000000,0.000000,0.000000,0.000000,events/second
1655425110,0,0.000000,0.000000,0.000000,0.000000,events/second
1655425650,0,0.000000,0.000000,0.000000,0.000000,events/second
1655425680,0,0.000000,0.000000,0.000000,0.000000,events/second
