t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655423430,3,1.154568,0.000000,0.000000,0.000000,events/second
1655423460,3,0.091589,0.000000,0.000000,0.000000,events/second
1655423490,3,0.047786,0.000000,0.000000,0.000000,events/second
1655423550,3,0.154077,0.000000,0.000000,0.000000,events/second
1655423581,3,0.060118,0.000000,0.000000,0.000000,events/second
1655423640,3,0.101181,0.000000,0.000000,0.000000,events/second
1655423790,3,0.098069,0.000000,0.000000,0.000000,events/second
1655423821,3,0.048940,0.000000,0.000000,0.000000,events/second
1655423851,3,0.032841,0.000000,0.000000,0.000000,events/second
1655423881,10,0.082388,0.000000,0.000000,0.000000,events/second
1655423911,10,0.066050,0.000000,0.000000,0.000000,events/second
1655423941,10,0.055123,0.000000,0.000000,0.000000,events/second
1655423971,10,0.047295,0.000000,0.000000,0.000000,events/second
1655424001,10,0.041417,0.000000,0.000000,0.000000,events/second
1655424031,10,0.036836,0.000000,0.000000,0.000000,events/second
1655424061,10,0.033169,0.000000,0.000000,0.000000,events/second
1655424091,10,0.030166,0.000000,0.000000,0.000000,events/second
1655424121,10,0.027661,0.000000,0.000000,0.000000,events/second
1655424151,10,0.025541,0.000000,0.000000,0.000000,events/second
1655424181,10,0.023722,0.000000,0.000000,0.000000,events/second
1655424211,10,0.022146,0.000000,0.000000,0.000000,events/second
1655424241,10,0.020765,0.000000,0.000000,0.000000,events/second
1655424271,10,0.019546,0.000000,0.000000,0.000000,events/second
1655424301,10,0.018463,0.000000,0.000000,0.000000,events/second
1655424332,10,0.017494,0.000000,0.000000,0.000000,events/second
1655424362,10,0.016621,0.000000,0.000000,0.000000,events/second
1655424392,10,0.015831,0.000000,0.000000,0.000000,events/second
1655424422,10,0.015113,0.000000,0.000000,0.000000,events/second
1655424452,10,0.014457,0.000000,0.000000,0.000000,events/second
1655424482,10,0.013856,0.000000,0.000000,0.000000,events/second
1655424512,10,0.013303,0.000000,0.000000,0.000000,events/second
1655424542,10,0.012792,0.000000,0.000000,0.000000,events/second
1655424572,10,0.012319,0.000000,0.000000,0.000000,events/second
1655424602,10,0.011879,0.000000,0.000000,0.000000,events/second
1655424632,10,0.011470,0.000000,0.000000,0.000000,events/second
1655424662,10,0.011088,0.000000,0.000000,0.000000,events/second
1655424930,10,0.218231,0.000000,0.000000,0.000000,events/second
1655424960,10,0.131349,0.000000,0.000000,0.000000,events/second
1655424990,10,0.094195,0.000000,0.000000,0.000000,events/second
1655425020,10,0.073430,0.000000,0.000000,0.000000,events/second
1655425050,10,0.060163,0.000000,0.000000,0.000000,events/second
1655425080,10,0.050962,0.000000,0.000000,0.000000,events/second
1655425110,10,0.044196,0.000000,0.000000,0.000000,events/second
1655425650,10,0.169024,0.000000,0.000000,0.000000,events/second
1655425680,10,0.111697,0.000000,0.000000,0.000000,events/second
