t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655423430,1,0.383885,0.000000,0.000000,0.000000,events/second
1655423460,2,0.061058,0.000000,0.000000,0.000000,events/second
1655423490,2,0.031857,0.000000,0.000000,0.000000,events/second
1655423550,1,0.051268,0.000000,0.000000,0.000000,events/second
1655423581,2,0.040078,0.000000,0.000000,0.000000,events/second
1655423640,2,0.067410,0.000000,0.000000,0.000000,events/second
1655423790,2,0.065314,0.000000,0.000000,0.000000,events/second
1655423821,2,0.032626,0.000000,0.000000,0.000000,events/second
1655423851,2,0.021894,0.000000,0.000000,0.000000,events/second
1655423881,2,0.016478,0.000000,0.000000,0.000000,events/second
1655423911,2,0.013210,0.000000,0.000000,0.000000,events/second
1655423941,2,0.011024,0.000000,0.000000,0.000000,events/second
1655423971,2,0.009459,0.000000,0.000000,0.000000,events/second
1655424001,2,0.008283,0.000000,0.000000,0.000000,events/second
1655424031,2,0.007367,0.000000,0.000000,0.000000,events/second
1655424061,2,0.006634,0.000000,0.000000,0.000000,events/second
1655424091,2,0.006033,0.000000,0.000000,0.000000,events/second
1655424121,2,0.005532,0.000000,0.000000,0.000000,events/second
1655424151,2,0.005108,0.000000,0.000000,0.000000,events/second
1655424181,2,0.004744,0.000000,0.000000,0.000000,events/second
1655424211,2,0.004429,0.000000,0.000000,0.000000,events/second
1655424241,2,0.004153,0.000000,0.000000,0.000000,events/second
1655424271,2,0.003909,0.000000,0.000000,0.000000,events/second
1655424301,2,0.003693,0.000000,0.000000,0.000000,events/second
1655424332,2,0.003499,0.000000,0.000000,0.000000,events/second
1655424362,2,0.003324,0.000000,0.000000,0.000000,events/second
1655424392,2,0.003166,0.000000,0.000000,0.000000,events/second
1655424422,2,0.003023,0.000000,0.000000,0.000000,events/second
1655424452,2,0.002891,0.000000,0.000000,0.000000,events/second
1655424482,2,0.002771,0.000000,0.000000,0.000000,events/second
1655424512,2,0.002661,0.000000,0.000000,0.000000,events/second
1655424542,2,0.002558,0.000000,0.000000,0.000000,events/second
1655424572,2,0.002464,0.000000,0.000000,0.000000,events/second
1655424602,3,0.003564,0.000000,0.000000,0.000000,events/second
1655424632,3,0.003441,0.000000,0.000000,0.000000,events/second
1655424662,3,0.003326,0.000000,0.000000,0.000000,events/second
1655424930,1,0.021818,0.000000,0.000000,0.000000,events/second
1655424960,1,0.013135,0.000000,0.000000,0.000000,events/second
1655424990,1,0.009419,0.000000,0.000000,0.000000,events/second
1655425020,1,0.007343,0.000000,0.000000,0.000000,events/second
1655425050,1,0.006016,0.000000,0.000000,0.000000,events/second
1655425080,1,0.005096,0.000000,0.000000,0.000000,events/second
1655425110,1,0.004420,0.000000,0.000000,0.000000,events/second
1655425650,1,0.016900,0.000000,0.000000,0.000000,events/second
1655425680,1,0.011170,0.000000,0.000000,0.000000,events/second
