t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655423430,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423460,1,0.030529,0.000000,0.000000,0.000000,events/second
1655423490,1,0.015929,0.000000,0.000000,0.000000,events/second
1655423550,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423581,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423640,1,0.033667,0.000000,0.000000,0.000000,events/second
1655423790,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423821,1,0.016313,0.000000,0.000000,0.000000,events/second
1655423851,1,0.010947,0.000000,0.000000,0.000000,events/second
1655423881,1,0.008239,0.000000,0.000000,0.000000,events/second
1655423911,1,0.006605,0.000000,0.000000,0.000000,events/second
1655423941,1,0.005512,0.000000,0.000000,0.000000,events/second
1655423971,1,0.004730,0.000000,0.000000,0.000000,events/second
1655424001,1,0.004142,0.000000,0.000000,0.000000,events/second
1655424031,1,0.003684,0.000000,0.000000,0.000000,events/second
1655424061,1,0.003317,0.000000,0.000000,0.000000,events/second
1655424091,1,0.003017,0.000000,0.000000,0.000000,events/second
1655424121,1,0.002766,0.000000,0.000000,0.000000,events/second
1655424151,1,0.002554,0.000000,0.000000,0.000000,events/second
1655424181,1,0.002372,0.000000,0.000000,0.000000,events/second
1655424211,1,0.002215,0.000000,0.000000,0.000000,events/second
1655424241,1,0.002076,0.000000,0.000000,0.000000,events/second
1655424271,1,0.001955,0.000000,0.000000,0.000000,events/second
1655424301,1,0.001846,0.000000,0.000000,0.000000,events/second
1655424332,1,0.001749,0.000000,0.000000,0.000000,events/second
1655424362,1,0.001662,0.000000,0.000000,0.000000,events/second
1655424392,1,0.001583,0.000000,0.000000,0.000000,events/second
1655424422,1,0.001511,0.000000,0.000000,0.000000,events/second
1655424452,1,0.001446,0.000000,0.000000,0.000000,events/second
1655424482,1,0.001386,0.000000,0.000000,0.000000,events/second
1655424512,1,0.001330,0.000000,0.000000,0.000000,events/second
1655424542,1,0.001279,0.000000,0.000000,0.000000,events/second
1655424572,1,0.001232,0.000000,0.000000,0.000000,events/second
1655424602,2,0.002376,0.000000,0.000000,0.000000,events/second
1655424632,4,0.004588,0.000000,0.000000,0.000000,events/second
1655424662,5,0.005544,0.000000,0.000000,0.000000,events/second
1655424930,1,0.021810,0.000000,0.000000,0.000000,events/second
1655424960,1,0.013135,0.000000,0.000000,0.000000,events/second
1655424990,1,0.009419,0.000000,0.000000,0.000000,events/second
1655425020,1,0.007343,0.000000,0.000000,0.000000,events/second
1655425050,1,0.006016,0.000000,0.000000,0.000000,events/second
1655425080,1,0.005096,0.000000,0.000000,0.000000,events/second
1655425110,1,0.004420,0.000000,0.000000,0.000000,events/second
1655425650,1,0.016895,0.000000,0.000000,0.000000,events/second
1655425680,1,0.011170,0.000000,0.000000,0.000000,events/second
