t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655423550,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423640,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423790,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423821,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423851,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423881,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423911,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423941,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423971,0,0.000000,0.000000,0.000000,0.000000,events/second
1655424001,0,0.000000,0.000000,0.000000,0.000000,events/second
1655424031,0,0.000000,0.000000,0.000000,0.000000,events/second
1655424061,0,0.000000,0.000000,0.000000,0.000000,events/second
1655424091,0,0.000000,0.000000,0.000000,0.000000,events/second
1655424121,0,0.000000,0.000000,0.000000,0.000000,events/second
1655424151,0,0.000000,0.000000,0.000000,0.000000,events/second
1655424181,0,0.000000,0.000000,0.000000,0.000000,events/second
1655424211,0,0.000000,0.000000,0.000000,0.000000,events/second
1655424241,0,0.000000,0.000000,0.000000,0.000000,events/second
1655424271,0,0.000000,0.000000,0.000000,0.000000,events/second
1655424301,3,0.005534,0.047973,0.009917,0.003324,events/second
1655424332,4,0.006992,0.039639,0.012015,0.004293,events/second
1655424362,4,0.006644,0.024042,0.010871,0.004152,events/second
1655424392,4,0.006328,0.014582,0.009837,0.004016,events/second
1655424422,4,0.006041,0.008845,0.008901,0.003884,events/second
1655424452,4,0.005779,0.005365,0.008054,0.003757,events/second
1655424482,4,0.005539,0.003254,0.007287,0.003634,events/second
1655424512,4,0.005318,0.001974,0.006594,0.003515,events/second
1655424542,4,0.005114,0.001197,0.005966,0.003399,events/second
1655424572,4,0.004925,0.000726,0.005399,0.003288,events/second
1655424602,4,0.004749,0.000440,0.004885,0.003180,events/second
1655424632,4,0.004586,0.000267,0.004420,0.003076,events/second
1655424662,4,0.004433,0.000162,0.003999,0.002975,events/second
1655424930,0,0.000000,0.000000,0.000000,0.000000,events/second
1655424960,0,0.000000,0.000000,0.000000,0.000000,events/second
1655424990,0,0.000000,0.000000,0.000000,0.000000,events/second
1655425020,0,0.000000,0.000000,0.000000,0.000000,events/second
1655425050,0,0.000000,0.000000,0.000000,0.000000,events/second
1655425080,0,0.000000,0.000000,0.000000,0.000000,events/second
1655425110,0,0.000000,0.000000,0.000000,0.000000,events/second
1655425650,0,0.000000,0.000000,0.000000,0.000000,events/second
1655425680,0,0.000000,0.000000,0.000000,0.000000,events/second
