t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1655423550,1,3835,3835.000000,3835,0.000000,3835.000000,3835.000000,3835.000000,3835.000000,3835.000000,3835.000000
1655423640,6,2052,379.333333,39,819.448758,46.000000,552.000000,2052.000000,2052.000000,2052.000000,2052.000000
1655423790,1,2761,2761.000000,2761,0.000000,2761.000000,2761.000000,2761.000000,2761.000000,2761.000000,2761.000000
1655423821,7,2761,449.285714,39,1019.798136,55.000000,125.000000,2761.000000,2761.000000,2761.000000,2761.000000
1655423851,7,2761,449.285714,39,1019.798136,55.000000,125.000000,2761.000000,2761.000000,2761.000000,2761.000000
1655423881,7,2761,449.285714,39,1019.798136,55.000000,125.000000,2761.000000,2761.000000,2761.000000,2761.000000
1655423911,7,2761,449.285714,39,1019.798136,55.000000,125.000000,2761.000000,2761.000000,2761.000000,2761.000000
1655423941,9,2761,390.888889,33,894.041029,55.000000,232.500000,2761.000000,2761.000000,2761.000000,2761.000000
1655423971,11,2761,325.090909,26,812.945073,49.000000,125.000000,2761.000000,2761.000000,2761.000000,2761.000000
1655424001,12,2761,299.750000,21,780.067727,45.500000,112.250000,2761.000000,2761.000000,2761.000000,2761.000000
1655424031,14,2761,260.500000,21,724.461153,40.500000,86.750000,2761.000000,2761.000000,2761.000000,2761.000000
1655424061,15,2761,245.133333,21,700.640510,39.000000,74.000000,2761.000000,2761.000000,2761.000000,2761.000000
1655424091,17,2761,220.058824,21,659.200412,33.000000,64.500000,2761.000000,2761.000000,2761.000000,2761.000000
1655424121,18,2761,213.777778,21,640.073301,36.000000,82.250000,2761.000000,2761.000000,2761.000000,2761.000000
1655424151,20,2761,195.000000,21,608.201923,32.500000,69.250000,2639.950000,2761.000000,2761.000000,2761.000000
1655424181,21,2761,186.761905,21,594.002770,32.000000,64.500000,2518.900000,2761.000000,2761.000000,2761.000000
1655424211,23,2761,173.434783,21,568.090568,32.000000,55.000000,2276.800000,2761.000000,2761.000000,2761.000000
1655424241,24,2761,167.041667,20,556.485593,32.000000,53.500000,2155.750000,2761.000000,2761.000000,2761.000000
1655424271,26,2761,155.692308,18,535.266122,32.000000,50.500000,1913.650000,2761.000000,2761.000000,2761.000000
1655424301,27,2761,150.777778,18,525.492467,32.000000,49.000000,1792.600000,2761.000000,2761.000000,2761.000000
1655424332,29,2761,142.034483,18,507.431521,30.000000,47.500000,1550.500000,2761.000000,2761.000000,2761.000000
1655424362,30,2761,137.900000,18,499.119939,29.500000,46.750000,1429.450000,2761.000000,2761.000000,2761.000000
1655424392,32,2761,131.250000,18,483.462378,29.500000,45.000000,1187.350000,2761.000000,2761.000000,2761.000000
1655424422,38,2761,121.578947,18,444.339573,31.000000,46.750000,461.050000,2761.000000,2761.000000,2761.000000
1655424452,50,2761,113.020000,18,386.641662,37.500000,83.750000,291.600000,2712.580000,2761.000000,2761.000000
1655424482,53,2761,113.849057,18,375.801625,38.000000,90.500000,278.400000,2567.320000,2761.000000,2761.000000
1655424512,58,3866,173.448276,18,610.415825,39.000000,89.750000,461.050000,3667.100000,3866.000000,3866.000000
1655424542,64,3866,162.156250,2,581.838335,39.000000,87.250000,318.000000,3534.500000,3866.000000,3866.000000
1655424572,69,3866,154.434783,2,560.812134,39.000000,85.500000,296.000000,3424.000000,3866.000000,3866.000000
1655424602,70,3866,152.600000,2,556.945042,39.000000,83.750000,291.600000,3401.900000,3866.000000,3866.000000
1655424632,70,3866,152.600000,2,556.945042,39.000000,83.750000,291.600000,3401.900000,3866.000000,3866.000000
1655424662,70,3866,152.600000,2,556.945042,39.000000,83.750000,291.600000,3401.900000,3866.000000,3866.000000
1655424930,8,3013,469.375000,34,1033.907006,72.000000,305.250000,3013.000000,3013.000000,3013.000000,3013.000000
1655424960,22,3013,233.590909,20,626.134449,91.000000,119.250000,2617.750000,3013.000000,3013.000000,3013.000000
1655424990,26,3013,211.269231,20,576.854405,91.000000,119.250000,2090.750000,3013.000000,3013.000000,3013.000000
1655425020,28,3013,198.821429,20,556.958543,88.500000,117.250000,1827.250000,3013.000000,3013.000000,3013.000000
1655425050,29,3013,193.206897,20,547.757531,87.000000,116.500000,1695.500000,3013.000000,3013.000000,3013.000000
1655425080,31,3013,182.129032,20,530.918559,81.000000,115.000000,1432.000000,3013.000000,3013.000000,3013.000000
1655425110,32,3013,177.625000,20,522.906255,72.000000,113.000000,1300.250000,3013.000000,3013.000000,3013.000000
1655425650,7,2630,429.000000,35,970.880872,66.000000,96.000000,2630.000000,2630.000000,2630.000000,2630.000000
1655425680,7,2630,429.000000,35,970.880872,66.000000,96.000000,2630.000000,2630.000000,2630.000000,2630.000000
