t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655423550,1,0.049450,0.155760,0.190246,0.196694,events/second
1655423640,7,0.232184,0.227795,0.203843,0.201169,events/second
1655423790,6,0.192448,0.131848,0.184009,0.194521,events/second
1655423821,7,0.113349,0.143222,0.184747,0.194610,events/second
1655423851,7,0.076250,0.086868,0.167166,0.188230,events/second
1655423881,7,0.057457,0.052688,0.151258,0.182059,events/second
1655423911,7,0.046098,0.031957,0.136864,0.176090,events/second
1655423941,9,0.049487,0.042379,0.130025,0.172485,events/second
1655423971,11,0.051914,0.050959,0.123944,0.169010,events/second
1655424001,12,0.049607,0.043362,0.115294,0.164558,events/second
1655424031,14,0.051484,0.051555,0.110615,0.161343,events/second
1655424061,15,0.049680,0.043723,0.103233,0.157143,events/second
1655424091,17,0.051213,0.051774,0.099701,0.154171,events/second
1655424121,18,0.049728,0.043857,0.093358,0.150207,events/second
1655424151,20,0.051022,0.051855,0.090766,0.147462,events/second
1655424181,21,0.049763,0.043905,0.085273,0.143717,events/second
1655424211,23,0.050884,0.051885,0.083451,0.141185,events/second
1655424241,24,0.049789,0.043923,0.078654,0.137646,events/second
1655424271,26,0.050776,0.051895,0.077461,0.135313,events/second
1655424301,27,0.049809,0.043930,0.073235,0.131967,events/second
1655424332,29,0.050692,0.051899,0.072558,0.129820,events/second
1655424362,30,0.049827,0.043933,0.068798,0.126654,events/second
1655424392,32,0.050624,0.051901,0.068543,0.124681,events/second
1655424422,38,0.057390,0.112885,0.081206,0.127168,events/second
1655424452,50,0.072238,0.227854,0.111647,0.136125,events/second
1655424482,53,0.073389,0.172821,0.110303,0.134913,events/second
1655424512,58,0.077109,0.171955,0.115745,0.135963,events/second
1655424542,64,0.081820,0.187960,0.124023,0.138093,events/second
1655424572,69,0.084951,0.183498,0.128267,0.139051,events/second
1655424602,70,0.083109,0.124833,0.119258,0.135588,events/second
1655424632,70,0.080250,0.075715,0.107909,0.131143,events/second
1655424662,70,0.077579,0.045924,0.097640,0.126844,events/second
1655424930,8,0.172701,0.199892,0.197524,0.198989,events/second
1655424960,22,0.287327,0.299706,0.220359,0.206717,events/second
1655424990,26,0.243913,0.242485,0.215012,0.205376,events/second
1655425020,28,0.204952,0.159529,0.197695,0.199733,events/second
1655425050,29,0.174021,0.122014,0.185175,0.195365,events/second
1655425080,31,0.157635,0.086459,0.170697,0.190050,events/second
1655425110,32,0.141156,0.077694,0.160746,0.185999,events/second
1655425650,7,0.114291,0.148719,0.185053,0.194646,events/second
1655425680,7,0.076461,0.090202,0.167443,0.188265,events/second
