t,value
1655423550,8
1655423640,8
1655423790,8
1655423821,8
1655423851,8
1655423881,8
1655423911,8
1655423941,8
1655423971,8
1655424001,8
1655424031,8
1655424061,8
1655424091,8
1655424121,8
1655424151,8
1655424181,8
1655424211,8
1655424241,8
1655424271,8
1655424301,8
1655424332,8
1655424362,8
1655424392,8
1655424422,8
1655424452,8
1655424482,202
1655424512,202
1655424542,202
1655424572,202
1655424602,202
1655424632,202
1655424662,202
1655424930,202
1655424960,202
1655424990,202
1655425020,202
1655425050,202
1655425080,202
1655425110,202
1655425650,202
1655425680,202
