t,value
1655423550,869024
1655423640,869066
1655423790,869066
1655423821,869066
1655423851,869066
1655423881,869066
1655423911,869066
1655423941,869066
1655423971,869066
1655424001,869066
1655424031,869066
1655424061,869066
1655424091,869066
1655424121,869066
1655424151,869066
1655424181,869066
1655424211,869066
1655424241,869066
1655424271,869066
1655424301,869066
1655424332,869066
1655424362,869066
1655424392,869066
1655424422,869066
1655424452,869066
1655424482,869066
1655424512,869066
1655424542,869066
1655424572,869066
1655424602,869066
1655424632,869066
1655424662,869066
1655424930,934602
1655424960,934602
1655424990,934602
1655425020,934602
1655425050,934602
1655425080,934602
1655425110,934602
1655425650,934602
1655425680,934602
