t,value
1655423550,872678
1655423640,872912
1655423790,873104
1655423821,873104
1655423851,873104
1655423881,873104
1655423911,873104
1655423941,873104
1655423971,873104
1655424001,873104
1655424031,873104
1655424061,873104
1655424091,873104
1655424121,873104
1655424151,873104
1655424181,873104
1655424211,873104
1655424241,873104
1655424271,873104
1655424301,873104
1655424332,873104
1655424362,873104
1655424392,873104
1655424422,873104
1655424452,873104
1655424482,873104
1655424512,873104
1655424542,873104
1655424572,873104
1655424602,873104
1655424632,873104
1655424662,873104
1655424930,970730
1655424960,970730
1655424990,970730
1655425020,970730
1655425050,970730
1655425080,970730
1655425110,970730
1655425650,970922
1655425680,970922
