t,value
1655423550,0
1655423640,0
1655423790,0
1655423821,0
1655423851,0
1655423881,0
1655423911,0
1655423941,0
1655423971,0
1655424001,0
1655424031,0
1655424061,0
1655424091,0
1655424121,0
1655424151,0
1655424181,0
1655424211,0
1655424241,0
1655424271,0
1655424301,0
1655424332,0
1655424362,0
1655424392,0
1655424422,0
1655424452,0
1655424482,0
1655424512,0
1655424542,0
1655424572,0
1655424602,0
1655424632,0
1655424662,0
1655424930,0
1655424960,0
1655424990,0
1655425020,0
1655425050,0
1655425080,0
1655425110,0
1655425650,0
1655425680,0
