t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655423550,1,0.051026,0.000000,0.000000,0.000000,events/second
1655423640,1,0.033532,0.000000,0.000000,0.000000,events/second
1655423790,1,0.032534,0.000000,0.000000,0.000000,events/second
1655423821,1,0.016314,0.000000,0.000000,0.000000,events/second
1655423851,1,0.010948,0.000000,0.000000,0.000000,events/second
1655423881,1,0.008239,0.000000,0.000000,0.000000,events/second
1655423911,1,0.006605,0.000000,0.000000,0.000000,events/second
1655423941,3,0.016537,0.000000,0.000000,0.000000,events/second
1655423971,5,0.023648,0.000000,0.000000,0.000000,events/second
1655424001,6,0.024851,0.000000,0.000000,0.000000,events/second
1655424031,8,0.029469,0.000000,0.000000,0.000000,events/second
1655424061,9,0.029853,0.000000,0.000000,0.000000,events/second
1655424091,11,0.033184,0.000000,0.000000,0.000000,events/second
1655424121,12,0.033194,0.000000,0.000000,0.000000,events/second
1655424151,14,0.035758,0.000000,0.000000,0.000000,events/second
1655424181,15,0.035584,0.000000,0.000000,0.000000,events/second
1655424211,17,0.037648,0.000000,0.000000,0.000000,events/second
1655424241,18,0.037377,0.000000,0.000000,0.000000,events/second
1655424271,20,0.039093,0.000000,0.000000,0.000000,events/second
1655424301,21,0.038773,0.000000,0.000000,0.000000,events/second
1655424332,23,0.040237,0.000000,0.000000,0.000000,events/second
1655424362,24,0.039892,0.000000,0.000000,0.000000,events/second
1655424392,26,0.041162,0.000000,0.000000,0.000000,events/second
1655424422,32,0.048362,0.000000,0.000000,0.000000,events/second
1655424452,44,0.063611,0.000000,0.000000,0.000000,events/second
1655424482,53,0.073436,0.000000,0.000000,0.000000,events/second
1655424512,69,0.091789,0.000000,0.000000,0.000000,events/second
1655424542,75,0.095939,0.000000,0.000000,0.000000,events/second
1655424572,80,0.098549,0.000000,0.000000,0.000000,events/second
1655424602,81,0.096221,0.000000,0.000000,0.000000,events/second
1655424632,81,0.092909,0.000000,0.000000,0.000000,events/second
1655424662,81,0.089816,0.000000,0.000000,0.000000,events/second
1655424930,2,0.043597,0.000000,0.000000,0.000000,events/second
1655424960,16,0.210222,0.000000,0.000000,0.000000,events/second
1655424990,20,0.188435,0.000000,0.000000,0.000000,events/second
1655425020,22,0.161575,0.000000,0.000000,0.000000,events/second
1655425050,23,0.138397,0.000000,0.000000,0.000000,events/second
1655425080,25,0.127422,0.000000,0.000000,0.000000,events/second
1655425110,26,0.114922,0.000000,0.000000,0.000000,events/second
1655425650,1,0.016884,0.000000,0.000000,0.000000,events/second
1655425680,1,0.011170,0.000000,0.000000,0.000000,events/second
