t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655423550,3,0.152867,0.000000,0.000000,0.000000,events/second
1655423640,3,0.100477,0.000000,0.000000,0.000000,events/second
1655423790,3,0.097471,0.000000,0.000000,0.000000,events/second
1655423821,3,0.048941,0.000000,0.000000,0.000000,events/second
1655423851,3,0.032842,0.000000,0.000000,0.000000,events/second
1655423881,3,0.024718,0.000000,0.000000,0.000000,events/second
1655423911,3,0.019816,0.000000,0.000000,0.000000,events/second
1655423941,3,0.016537,0.000000,0.000000,0.000000,events/second
1655423971,3,0.014189,0.000000,0.000000,0.000000,events/second
1655424001,3,0.012425,0.000000,0.000000,0.000000,events/second
1655424031,3,0.011051,0.000000,0.000000,0.000000,events/second
1655424061,3,0.009951,0.000000,0.000000,0.000000,events/second
1655424091,3,0.009050,0.000000,0.000000,0.000000,events/second
1655424121,3,0.008299,0.000000,0.000000,0.000000,events/second
1655424151,3,0.007662,0.000000,0.000000,0.000000,events/second
1655424181,3,0.007117,0.000000,0.000000,0.000000,events/second
1655424211,3,0.006644,0.000000,0.000000,0.000000,events/second
1655424241,3,0.006230,0.000000,0.000000,0.000000,events/second
1655424271,3,0.005864,0.000000,0.000000,0.000000,events/second
1655424301,3,0.005539,0.000000,0.000000,0.000000,events/second
1655424332,3,0.005248,0.000000,0.000000,0.000000,events/second
1655424362,3,0.004986,0.000000,0.000000,0.000000,events/second
1655424392,3,0.004749,0.000000,0.000000,0.000000,events/second
1655424422,3,0.004534,0.000000,0.000000,0.000000,events/second
1655424452,3,0.004337,0.000000,0.000000,0.000000,events/second
1655424482,10,0.013856,0.000000,0.000000,0.000000,events/second
1655424512,10,0.013303,0.000000,0.000000,0.000000,events/second
1655424542,10,0.012792,0.000000,0.000000,0.000000,events/second
1655424572,10,0.012319,0.000000,0.000000,0.000000,events/second
1655424602,10,0.011879,0.000000,0.000000,0.000000,events/second
1655424632,10,0.011470,0.000000,0.000000,0.000000,events/second
1655424662,10,0.011088,0.000000,0.000000,0.000000,events/second
1655424930,10,0.217879,0.000000,0.000000,0.000000,events/second
1655424960,10,0.131390,0.000000,0.000000,0.000000,events/second
1655424990,10,0.094218,0.000000,0.000000,0.000000,events/second
1655425020,10,0.073444,0.000000,0.000000,0.000000,events/second
1655425050,10,0.060173,0.000000,0.000000,0.000000,events/second
1655425080,10,0.050969,0.000000,0.000000,0.000000,events/second
1655425110,10,0.044201,0.000000,0.000000,0.000000,events/second
1655425650,10,0.168763,0.000000,0.000000,0.000000,events/second
1655425680,10,0.111702,0.000000,0.000000,0.000000,events/second
