t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655423550,1,0.050941,0.000000,0.000000,0.000000,events/second
1655423640,1,0.033479,0.000000,0.000000,0.000000,events/second
1655423790,1,0.032470,0.000000,0.000000,0.000000,events/second
1655423821,1,0.016313,0.000000,0.000000,0.000000,events/second
1655423851,1,0.010947,0.000000,0.000000,0.000000,events/second
1655423881,1,0.008239,0.000000,0.000000,0.000000,events/second
1655423911,1,0.006605,0.000000,0.000000,0.000000,events/second
1655423941,1,0.005512,0.000000,0.000000,0.000000,events/second
1655423971,1,0.004730,0.000000,0.000000,0.000000,events/second
1655424001,1,0.004142,0.000000,0.000000,0.000000,events/second
1655424031,1,0.003684,0.000000,0.000000,0.000000,events/second
1655424061,1,0.003317,0.000000,0.000000,0.000000,events/second
1655424091,1,0.003017,0.000000,0.000000,0.000000,events/second
1655424121,1,0.002766,0.000000,0.000000,0.000000,events/second
1655424151,1,0.002554,0.000000,0.000000,0.000000,events/second
1655424181,1,0.002372,0.000000,0.000000,0.000000,events/second
1655424211,1,0.002215,0.000000,0.000000,0.000000,events/second
1655424241,1,0.002077,0.000000,0.000000,0.000000,events/second
1655424271,1,0.001955,0.000000,0.000000,0.000000,events/second
1655424301,1,0.001846,0.000000,0.000000,0.000000,events/second
1655424332,1,0.001749,0.000000,0.000000,0.000000,events/second
1655424362,1,0.001662,0.000000,0.000000,0.000000,events/second
1655424392,1,0.001583,0.000000,0.000000,0.000000,events/second
1655424422,1,0.001511,0.000000,0.000000,0.000000,events/second
1655424452,1,0.001446,0.000000,0.000000,0.000000,events/second
1655424482,2,0.002771,0.000000,0.000000,0.000000,events/second
1655424512,6,0.007982,0.000000,0.000000,0.000000,events/second
1655424542,6,0.007675,0.000000,0.000000,0.000000,events/second
1655424572,6,0.007391,0.000000,0.000000,0.000000,events/second
1655424602,6,0.007128,0.000000,0.000000,0.000000,events/second
1655424632,6,0.006882,0.000000,0.000000,0.000000,events/second
1655424662,6,0.006653,0.000000,0.000000,0.000000,events/second
1655424930,1,0.021784,0.000000,0.000000,0.000000,events/second
1655424960,1,0.013139,0.000000,0.000000,0.000000,events/second
1655424990,1,0.009422,0.000000,0.000000,0.000000,events/second
1655425020,1,0.007344,0.000000,0.000000,0.000000,events/second
1655425050,1,0.006017,0.000000,0.000000,0.000000,events/second
1655425080,1,0.005097,0.000000,0.000000,0.000000,events/second
1655425110,1,0.004420,0.000000,0.000000,0.000000,events/second
1655425650,1,0.016874,0.000000,0.000000,0.000000,events/second
1655425680,1,0.011170,0.000000,0.000000,0.000000,events/second
