t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655423550,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423640,1,0.033468,0.000000,0.000000,0.000000,events/second
1655423790,1,0.032451,0.000000,0.000000,0.000000,events/second
1655423821,1,0.016313,0.000000,0.000000,0.000000,events/second
1655423851,1,0.010947,0.000000,0.000000,0.000000,events/second
1655423881,1,0.008239,0.000000,0.000000,0.000000,events/second
1655423911,1,0.006605,0.000000,0.000000,0.000000,events/second
1655423941,1,0.005512,0.000000,0.000000,0.000000,events/second
1655423971,1,0.004730,0.000000,0.000000,0.000000,events/second
1655424001,1,0.004142,0.000000,0.000000,0.000000,events/second
1655424031,1,0.003684,0.000000,0.000000,0.000000,events/second
1655424061,1,0.003317,0.000000,0.000000,0.000000,events/second
1655424091,1,0.003017,0.000000,0.000000,0.000000,events/second
1655424121,1,0.002766,0.000000,0.000000,0.000000,events/second
1655424151,1,0.002554,0.000000,0.000000,0.000000,events/second
1655424181,1,0.002372,0.000000,0.000000,0.000000,events/second
1655424211,1,0.002215,0.000000,0.000000,0.000000,events/second
1655424241,1,0.002077,0.000000,0.000000,0.000000,events/second
1655424271,1,0.001955,0.000000,0.000000,0.000000,events/second
1655424301,4,0.007385,0.000000,0.000000,0.000000,events/second
1655424332,5,0.008747,0.000000,0.000000,0.000000,events/second
1655424362,5,0.008311,0.000000,0.000000,0.000000,events/second
1655424392,5,0.007916,0.000000,0.000000,0.000000,events/second
1655424422,5,0.007557,0.000000,0.000000,0.000000,events/second
1655424452,5,0.007229,0.000000,0.000000,0.000000,events/second
1655424482,5,0.006928,0.000000,0.000000,0.000000,events/second
1655424512,7,0.009312,0.000000,0.000000,0.000000,events/second
1655424542,7,0.008954,0.000000,0.000000,0.000000,events/second
1655424572,7,0.008623,0.000000,0.000000,0.000000,events/second
1655424602,7,0.008315,0.000000,0.000000,0.000000,events/second
1655424632,7,0.008029,0.000000,0.000000,0.000000,events/second
1655424662,7,0.007762,0.000000,0.000000,0.000000,events/second
1655424930,1,0.021781,0.000000,0.000000,0.000000,events/second
1655424960,1,0.013139,0.000000,0.000000,0.000000,events/second
1655424990,1,0.009422,0.000000,0.000000,0.000000,events/second
1655425020,1,0.007344,0.000000,0.000000,0.000000,events/second
1655425050,1,0.006017,0.000000,0.000000,0.000000,events/second
1655425080,1,0.005097,0.000000,0.000000,0.000000,events/second
1655425110,1,0.004420,0.000000,0.000000,0.000000,events/second
1655425650,1,0.016871,0.000000,0.000000,0.000000,events/second
1655425680,1,0.011170,0.000000,0.000000,0.000000,events/second
