t,value
1655423430,0.0
1655423460,1.0
1655423490,0.9637305699481865
1655423550,0.0
1655423581,1.0
1655423640,0.0
1655423790,0.0
1655423821,1.0
1655423851,1.0
1655423881,0.9873096446700508
1655423911,1.0
1655423941,1.0
1655423971,1.0
1655424001,1.0
1655424031,1.0
1655424061,1.0
1655424091,1.0
1655424121,1.0
1655424151,1.0
1655424181,1.0
1655424211,1.0
1655424241,1.0
1655424271,1.0
1655424301,1.0
1655424332,1.0
1655424362,1.0
1655424392,1.0
1655424422,1.0
1655424452,1.0
1655424482,0.99122106943336
1655424512,1.0
1655424542,1.0
1655424572,1.0
1655424602,1.0
1655424632,1.0
1655424662,1.0
1655424930,0.0
1655424960,1.0
1655424990,1.0
1655425020,1.0
1655425050,1.0
1655425080,1.0
1655425110,1.0
1655425141,1.0
1655425650,0.0
1655425680,1.0
