t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655423430,2336,1364.841781,0.000000,0.000000,0.000000,events/second
1655423460,2765,86.852355,0.000000,0.000000,0.000000,events/second
1655423490,3881,62.737983,0.000000,0.000000,0.000000,events/second
1655423550,939,241.188422,0.000000,0.000000,0.000000,events/second
1655423581,1618,47.408418,0.000000,0.000000,0.000000,events/second
1655423640,1508,113.971927,0.000000,0.000000,0.000000,events/second
1655423790,1565,210.800121,0.000000,0.000000,0.000000,events/second
1655423821,2016,53.288986,0.000000,0.000000,0.000000,events/second
1655423851,2125,31.305782,0.000000,0.000000,0.000000,events/second
1655423881,2903,29.651412,0.000000,0.000000,0.000000,events/second
1655423911,2976,23.263457,0.000000,0.000000,0.000000,events/second
1655423941,3441,21.786291,0.000000,0.000000,0.000000,events/second
1655423971,3549,18.881424,0.000000,0.000000,0.000000,events/second
1655424001,3979,18.254437,0.000000,0.000000,0.000000,events/second
1655424031,4087,16.479694,0.000000,0.000000,0.000000,events/second
1655424061,4517,16.247679,0.000000,0.000000,0.000000,events/second
1655424091,4625,15.015224,0.000000,0.000000,0.000000,events/second
1655424121,5055,14.953815,0.000000,0.000000,0.000000,events/second
1655424151,5163,14.027658,0.000000,0.000000,0.000000,events/second
1655424181,5593,14.050176,0.000000,0.000000,0.000000,events/second
1655424211,5701,13.317479,0.000000,0.000000,0.000000,events/second
1655424241,6131,13.383286,0.000000,0.000000,0.000000,events/second
1655424271,6239,12.781437,0.000000,0.000000,0.000000,events/second
1655424301,6669,12.870968,0.000000,0.000000,0.000000,events/second
1655424332,6777,12.363351,0.000000,0.000000,0.000000,events/second
1655424362,7207,12.465375,0.000000,0.000000,0.000000,events/second
1655424392,7315,12.027478,0.000000,0.000000,0.000000,events/second
1655424422,7752,12.146445,0.000000,0.000000,0.000000,events/second
1655424452,7870,11.777317,0.000000,0.000000,0.000000,events/second
1655424482,9112,13.049774,0.000000,0.000000,0.000000,events/second
1655424512,9254,12.707009,0.000000,0.000000,0.000000,events/second
1655424542,9737,12.840888,0.000000,0.000000,0.000000,events/second
1655424572,9878,12.530646,0.000000,0.000000,0.000000,events/second
1655424602,10324,12.615765,0.000000,0.000000,0.000000,events/second
1655424632,10372,12.226051,0.000000,0.000000,0.000000,events/second
1655424662,10789,12.282893,0.000000,0.000000,0.000000,events/second
1655424930,1332,59.204036,0.000000,0.000000,0.000000,events/second
1655424960,1970,37.402560,0.000000,0.000000,0.000000,events/second
1655424990,3138,37.945673,0.000000,0.000000,0.000000,events/second
1655425020,3618,32.097343,0.000000,0.000000,0.000000,events/second
1655425050,3695,25.884684,0.000000,0.000000,0.000000,events/second
1655425080,4175,24.166778,0.000000,0.000000,0.000000,events/second
1655425110,4252,20.966426,0.000000,0.000000,0.000000,events/second
1655425141,4875,20.940519,0.000000,0.000000,0.000000,events/second
1655425650,1453,48.117447,0.000000,0.000000,0.000000,events/second
1655425680,1722,28.499236,0.000000,0.000000,0.000000,events/second
