t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655423430,141,81.971468,0.000000,0.000000,0.000000,events/second
1655423460,141,4.428675,0.000000,0.000000,0.000000,events/second
1655423490,183,2.958158,0.000000,0.000000,0.000000,events/second
1655423550,399,102.143134,0.000000,0.000000,0.000000,events/second
1655423581,399,11.690085,0.000000,0.000000,0.000000,events/second
1655423640,399,30.103625,0.000000,0.000000,0.000000,events/second
1655423790,399,53.606475,0.000000,0.000000,0.000000,events/second
1655423821,399,10.546345,0.000000,0.000000,0.000000,events/second
1655423851,399,5.878002,0.000000,0.000000,0.000000,events/second
1655423881,409,4.177497,0.000000,0.000000,0.000000,events/second
1655423911,409,3.197132,0.000000,0.000000,0.000000,events/second
1655423941,409,2.589512,0.000000,0.000000,0.000000,events/second
1655423971,409,2.175952,0.000000,0.000000,0.000000,events/second
1655424001,409,1.876356,0.000000,0.000000,0.000000,events/second
1655424031,409,1.649171,0.000000,0.000000,0.000000,events/second
1655424061,409,1.471169,0.000000,0.000000,0.000000,events/second
1655424091,409,1.327828,0.000000,0.000000,0.000000,events/second
1655424121,409,1.209909,0.000000,0.000000,0.000000,events/second
1655424151,409,1.111232,0.000000,0.000000,0.000000,events/second
1655424181,409,1.027446,0.000000,0.000000,0.000000,events/second
1655424211,409,0.955417,0.000000,0.000000,0.000000,events/second
1655424241,409,0.892799,0.000000,0.000000,0.000000,events/second
1655424271,409,0.837890,0.000000,0.000000,0.000000,events/second
1655424301,409,0.789356,0.000000,0.000000,0.000000,events/second
1655424332,409,0.746141,0.000000,0.000000,0.000000,events/second
1655424362,409,0.707413,0.000000,0.000000,0.000000,events/second
1655424392,409,0.672485,0.000000,0.000000,0.000000,events/second
1655424422,409,0.640852,0.000000,0.000000,0.000000,events/second
1655424452,409,0.612060,0.000000,0.000000,0.000000,events/second
1655424482,420,0.601503,0.000000,0.000000,0.000000,events/second
1655424512,420,0.576717,0.000000,0.000000,0.000000,events/second
1655424542,420,0.553884,0.000000,0.000000,0.000000,events/second
1655424572,420,0.532786,0.000000,0.000000,0.000000,events/second
1655424602,420,0.513233,0.000000,0.000000,0.000000,events/second
1655424632,420,0.495077,0.000000,0.000000,0.000000,events/second
1655424662,420,0.478154,0.000000,0.000000,0.000000,events/second
1655424930,422,18.748130,0.000000,0.000000,0.000000,events/second
1655424960,422,8.011781,0.000000,0.000000,0.000000,events/second
1655424990,422,5.102820,0.000000,0.000000,0.000000,events/second
1655425020,422,3.743729,0.000000,0.000000,0.000000,events/second
1655425050,422,2.956203,0.000000,0.000000,0.000000,events/second
1655425080,422,2.442696,0.000000,0.000000,0.000000,events/second
1655425110,422,2.080842,0.000000,0.000000,0.000000,events/second
1655425141,422,1.812681,0.000000,0.000000,0.000000,events/second
1655425650,422,13.967921,0.000000,0.000000,0.000000,events/second
1655425680,422,6.983845,0.000000,0.000000,0.000000,events/second
