t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655423430,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423460,30,0.819279,0.370026,0.094003,0.032650,events/second
1655423490,44,0.660240,0.386866,0.123426,0.044730,events/second
1655423550,0,0.000000,0.000000,0.000000,0.000000,events/second
1655423581,22,0.415869,0.251621,0.067947,0.023829,events/second
1655423640,24,0.755508,0.303201,0.065404,0.022081,events/second
1655423790,23,0.690634,0.163830,0.190620,0.196737,events/second
1655423821,37,0.581739,0.523185,0.279060,0.227292,events/second
1655423851,43,0.459168,0.392311,0.271373,0.226379,events/second
1655423881,53,0.428551,0.360905,0.274335,0.228820,events/second
1655423911,67,0.435931,0.442419,0.297022,0.237848,events/second
1655423941,73,0.397361,0.343324,0.287626,0.236589,events/second
1655423971,79,0.369624,0.290584,0.279449,0.235408,events/second
1655424001,82,0.336420,0.216857,0.262448,0.230977,events/second
1655424031,88,0.321437,0.213878,0.256668,0.229980,events/second
1655424061,91,0.299562,0.170332,0.241834,0.225728,events/second
1655424091,97,0.290603,0.185659,0.238015,0.224903,events/second
1655424121,100,0.274870,0.153217,0.224957,0.220817,events/second
1655424151,106,0.269154,0.175278,0.222744,0.220153,events/second
1655424181,109,0.257172,0.146920,0.211140,0.216223,events/second
1655424211,115,0.253387,0.171459,0.210242,0.215709,events/second
1655424241,118,0.243864,0.144604,0.199826,0.211925,events/second
1655424271,124,0.241293,0.170054,0.200005,0.211552,events/second
1655424301,127,0.233494,0.143752,0.190564,0.207904,events/second
1655424332,133,0.231739,0.169538,0.191624,0.207663,events/second
1655424362,136,0.225192,0.143438,0.182981,0.204143,events/second
1655424392,142,0.223989,0.169348,0.184763,0.204025,events/second
1655424422,145,0.218380,0.143323,0.176772,0.200624,events/second
1655424452,151,0.217579,0.169278,0.179145,0.200622,events/second
1655424482,157,0.216846,0.177655,0.180966,0.200583,events/second
1655424512,166,0.220151,0.234239,0.192693,0.203888,events/second
1655424542,172,0.219374,0.226819,0.193701,0.203797,events/second
1655424572,181,0.222338,0.264058,0.204216,0.206996,events/second
1655424602,184,0.217981,0.200768,0.194374,0.203497,events/second
1655424632,184,0.210497,0.121772,0.175877,0.196826,events/second
1655424662,184,0.203507,0.073858,0.159140,0.190373,events/second
1655424930,19,0.393956,0.269139,0.061288,0.020881,events/second
1655424960,23,0.293519,0.200603,0.064890,0.023466,events/second
1655424990,31,0.286015,0.234797,0.087025,0.032504,events/second
1655425020,35,0.252874,0.179773,0.088177,0.034708,events/second
1655425050,40,0.237477,0.184802,0.098664,0.040109,events/second
1655425080,44,0.221722,0.149450,0.098708,0.042063,events/second
1655425110,49,0.214452,0.166409,0.108192,0.047223,events/second
1655425650,7,0.107386,0.078375,0.021545,0.007574,events/second
1655425680,7,0.073404,0.047537,0.019495,0.007325,events/second
