t,value
1655423430,54
1655423460,55
1655423490,57
1655423550,57
1655423581,57
1655423640,57
1655423790,57
1655423821,57
1655423851,57
1655423881,57
1655423911,57
1655423941,57
1655423971,57
1655424001,57
1655424031,57
1655424061,57
1655424091,57
1655424121,57
1655424151,57
1655424181,57
1655424211,57
1655424241,57
1655424271,57
1655424301,57
1655424332,57
1655424362,57
1655424392,57
1655424422,57
1655424452,57
1655424482,57
1655424512,57
1655424542,57
1655424572,57
1655424602,57
1655424632,57
1655424662,57
1655424930,57
1655424960,57
1655424990,57
1655425020,57
1655425050,57
1655425080,57
1655425110,57
1655425650,57
1655425680,57
