t,value
1655423430,121
1655423460,126
1655423490,134
1655423550,134
1655423581,134
1655423640,134
1655423790,134
1655423821,134
1655423851,134
1655423881,134
1655423911,134
1655423941,134
1655423971,134
1655424001,134
1655424031,134
1655424061,134
1655424091,134
1655424121,134
1655424151,134
1655424181,134
1655424211,134
1655424241,134
1655424271,134
1655424301,134
1655424332,134
1655424362,134
1655424392,134
1655424422,134
1655424452,134
1655424482,134
1655424512,134
1655424542,134
1655424572,134
1655424602,134
1655424632,134
1655424662,134
1655424930,134
1655424960,134
1655424990,134
1655425020,134
1655425050,134
1655425080,134
1655425110,134
1655425650,134
1655425680,134
