t,value
1655423430,100
1655423460,101
1655423490,103
1655423550,103
1655423581,103
1655423640,103
1655423790,103
1655423821,103
1655423851,103
1655423881,103
1655423911,103
1655423941,103
1655423971,103
1655424001,103
1655424031,103
1655424061,103
1655424091,103
1655424121,103
1655424151,103
1655424181,103
1655424211,103
1655424241,103
1655424271,103
1655424301,103
1655424332,103
1655424362,103
1655424392,103
1655424422,103
1655424452,103
1655424482,103
1655424512,103
1655424542,103
1655424572,103
1655424602,103
1655424632,103
1655424662,103
1655424930,103
1655424960,103
1655424990,103
1655425020,103
1655425050,103
1655425080,103
1655425110,103
1655425650,103
1655425680,103
