t,value
1655423430,770048
1655423460,770048
1655423490,770048
1655423550,1155870
1655423581,1155870
1655423640,1155870
1655423790,1155870
1655423821,1155870
1655423851,1155870
1655423881,1155870
1655423911,1155870
1655423941,1155870
1655423971,1155870
1655424001,1155870
1655424031,1155870
1655424061,1155870
1655424091,1155870
1655424121,1155870
1655424151,1155870
1655424181,1155870
1655424211,1155870
1655424241,1155870
1655424271,1155870
1655424301,1155870
1655424332,1155870
1655424362,1155870
1655424392,1155870
1655424422,1155870
1655424452,1155870
1655424482,1155870
1655424512,1155870
1655424542,1155870
1655424572,1155870
1655424602,1155870
1655424632,1155870
1655424662,1155870
1655424930,1155870
1655424960,1155870
1655424990,1155870
1655425020,1155870
1655425050,1155870
1655425080,1155870
1655425110,1155870
1655425650,1155870
1655425680,1155870
