t,value
1655423430,770048
1655423460,770048
1655423490,770048
1655423550,1206697
1655423581,1206697
1655423640,1206889
1655423790,1207081
1655423821,1207081
1655423851,1207081
1655423881,1207081
1655423911,1207081
1655423941,1207081
1655423971,1207081
1655424001,1207081
1655424031,1207081
1655424061,1207081
1655424091,1207081
1655424121,1207081
1655424151,1207081
1655424181,1207081
1655424211,1207081
1655424241,1207081
1655424271,1207081
1655424301,1207081
1655424332,1207081
1655424362,1207081
1655424392,1207081
1655424422,1207081
1655424452,1207081
1655424482,1207081
1655424512,1207081
1655424542,1207081
1655424572,1207081
1655424602,1207081
1655424632,1207081
1655424662,1207081
1655424930,1207273
1655424960,1207273
1655424990,1207273
1655425020,1207273
1655425050,1207273
1655425080,1207273
1655425110,1207273
1655425650,1207465
1655425680,1207465
