t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655423430,81,14.831543,0.000000,0.000000,0.000000,events/second
1655423460,119,3.347643,0.000000,0.000000,0.000000,events/second
1655423490,144,2.196047,0.000000,0.000000,0.000000,events/second
1655423550,18,0.859851,0.000000,0.000000,0.000000,events/second
1655423581,45,0.880593,0.000000,0.000000,0.000000,events/second
1655423640,43,1.403116,0.000000,0.000000,0.000000,events/second
1655423790,44,1.377328,0.000000,0.000000,0.000000,events/second
1655423821,60,0.964684,0.000000,0.000000,0.000000,events/second
1655423851,68,0.737196,0.000000,0.000000,0.000000,events/second
1655423881,80,0.654310,0.000000,0.000000,0.000000,events/second
1655423911,96,0.630386,0.000000,0.000000,0.000000,events/second
1655423941,104,0.570471,0.000000,0.000000,0.000000,events/second
1655423971,112,0.527495,0.000000,0.000000,0.000000,events/second
1655424001,117,0.482799,0.000000,0.000000,0.000000,events/second
1655424031,125,0.458945,0.000000,0.000000,0.000000,events/second
1655424061,130,0.429936,0.000000,0.000000,0.000000,events/second
1655424091,138,0.415185,0.000000,0.000000,0.000000,events/second
1655424121,143,0.394589,0.000000,0.000000,0.000000,events/second
1655424151,151,0.384791,0.000000,0.000000,0.000000,events/second
1655424181,156,0.369288,0.000000,0.000000,0.000000,events/second
1655424211,164,0.362474,0.000000,0.000000,0.000000,events/second
1655424241,169,0.350280,0.000000,0.000000,0.000000,events/second
1655424271,177,0.345372,0.000000,0.000000,0.000000,events/second
1655424301,182,0.335481,0.000000,0.000000,0.000000,events/second
1655424332,190,0.331870,0.000000,0.000000,0.000000,events/second
1655424362,195,0.323639,0.000000,0.000000,0.000000,events/second
1655424392,203,0.320922,0.000000,0.000000,0.000000,events/second
1655424422,209,0.315437,0.000000,0.000000,0.000000,events/second
1655424452,217,0.313314,0.000000,0.000000,0.000000,events/second
1655424482,225,0.311371,0.000000,0.000000,0.000000,events/second
1655424512,236,0.313571,0.000000,0.000000,0.000000,events/second
1655424542,244,0.311764,0.000000,0.000000,0.000000,events/second
1655424572,255,0.313781,0.000000,0.000000,0.000000,events/second
1655424602,261,0.309718,0.000000,0.000000,0.000000,events/second
1655424632,263,0.301359,0.000000,0.000000,0.000000,events/second
1655424662,265,0.293552,0.000000,0.000000,0.000000,events/second
1655424930,37,0.789694,0.000000,0.000000,0.000000,events/second
1655424960,45,0.584601,0.000000,0.000000,0.000000,events/second
1655424990,53,0.495317,0.000000,0.000000,0.000000,events/second
1655425020,61,0.445174,0.000000,0.000000,0.000000,events/second
1655425050,66,0.395083,0.000000,0.000000,0.000000,events/second
1655425080,74,0.375515,0.000000,0.000000,0.000000,events/second
1655425110,79,0.347857,0.000000,0.000000,0.000000,events/second
1655425650,25,0.403662,0.000000,0.000000,0.000000,events/second
1655425680,29,0.314885,0.000000,0.000000,0.000000,events/second
