t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655423430,73,13.336670,0.000000,0.000000,0.000000,events/second
1655423460,73,2.053898,0.000000,0.000000,0.000000,events/second
1655423490,75,1.143864,0.000000,0.000000,0.000000,events/second
1655423550,75,3.577526,0.000000,0.000000,0.000000,events/second
1655423581,75,1.467789,0.000000,0.000000,0.000000,events/second
1655423640,75,2.440792,0.000000,0.000000,0.000000,events/second
1655423790,75,2.343561,0.000000,0.000000,0.000000,events/second
1655423821,75,1.205930,0.000000,0.000000,0.000000,events/second
1655423851,75,0.813127,0.000000,0.000000,0.000000,events/second
1655423881,75,0.613441,0.000000,0.000000,0.000000,events/second
1655423911,75,0.492506,0.000000,0.000000,0.000000,events/second
1655423941,75,0.411408,0.000000,0.000000,0.000000,events/second
1655423971,75,0.353242,0.000000,0.000000,0.000000,events/second
1655424001,75,0.309493,0.000000,0.000000,0.000000,events/second
1655424031,75,0.275372,0.000000,0.000000,0.000000,events/second
1655424061,75,0.248044,0.000000,0.000000,0.000000,events/second
1655424091,75,0.225647,0.000000,0.000000,0.000000,events/second
1655424121,75,0.206955,0.000000,0.000000,0.000000,events/second
1655424151,75,0.191124,0.000000,0.000000,0.000000,events/second
1655424181,75,0.177544,0.000000,0.000000,0.000000,events/second
1655424211,75,0.165768,0.000000,0.000000,0.000000,events/second
1655424241,75,0.155452,0.000000,0.000000,0.000000,events/second
1655424271,75,0.146345,0.000000,0.000000,0.000000,events/second
1655424301,75,0.138249,0.000000,0.000000,0.000000,events/second
1655424332,75,0.131002,0.000000,0.000000,0.000000,events/second
1655424362,75,0.124478,0.000000,0.000000,0.000000,events/second
1655424392,75,0.118568,0.000000,0.000000,0.000000,events/second
1655424422,75,0.113196,0.000000,0.000000,0.000000,events/second
1655424452,75,0.108289,0.000000,0.000000,0.000000,events/second
1655424482,75,0.103791,0.000000,0.000000,0.000000,events/second
1655424512,75,0.099652,0.000000,0.000000,0.000000,events/second
1655424542,75,0.095830,0.000000,0.000000,0.000000,events/second
1655424572,75,0.092289,0.000000,0.000000,0.000000,events/second
1655424602,75,0.089000,0.000000,0.000000,0.000000,events/second
1655424632,75,0.085939,0.000000,0.000000,0.000000,events/second
1655424662,75,0.083081,0.000000,0.000000,0.000000,events/second
1655424930,75,1.599934,0.000000,0.000000,0.000000,events/second
1655424960,75,0.974397,0.000000,0.000000,0.000000,events/second
1655424990,75,0.700954,0.000000,0.000000,0.000000,events/second
1655425020,75,0.547365,0.000000,0.000000,0.000000,events/second
1655425050,75,0.448971,0.000000,0.000000,0.000000,events/second
1655425080,75,0.380600,0.000000,0.000000,0.000000,events/second
1655425110,75,0.330251,0.000000,0.000000,0.000000,events/second
1655425650,75,1.210231,0.000000,0.000000,0.000000,events/second
1655425680,75,0.814388,0.000000,0.000000,0.000000,events/second
