t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655423430,2,0.364406,0.000000,0.000000,0.000000,events/second
1655423460,4,0.112516,0.000000,0.000000,0.000000,events/second
1655423490,4,0.060998,0.000000,0.000000,0.000000,events/second
1655423550,2,0.095296,0.000000,0.000000,0.000000,events/second
1655423581,5,0.097836,0.000000,0.000000,0.000000,events/second
1655423640,5,0.162502,0.000000,0.000000,0.000000,events/second
1655423790,5,0.156099,0.000000,0.000000,0.000000,events/second
1655423821,5,0.080382,0.000000,0.000000,0.000000,events/second
1655423851,5,0.054202,0.000000,0.000000,0.000000,events/second
1655423881,5,0.040893,0.000000,0.000000,0.000000,events/second
1655423911,5,0.032832,0.000000,0.000000,0.000000,events/second
1655423941,5,0.027426,0.000000,0.000000,0.000000,events/second
1655423971,5,0.023548,0.000000,0.000000,0.000000,events/second
1655424001,5,0.020632,0.000000,0.000000,0.000000,events/second
1655424031,5,0.018357,0.000000,0.000000,0.000000,events/second
1655424061,5,0.016536,0.000000,0.000000,0.000000,events/second
1655424091,5,0.015043,0.000000,0.000000,0.000000,events/second
1655424121,5,0.013797,0.000000,0.000000,0.000000,events/second
1655424151,5,0.012741,0.000000,0.000000,0.000000,events/second
1655424181,5,0.011836,0.000000,0.000000,0.000000,events/second
1655424211,5,0.011051,0.000000,0.000000,0.000000,events/second
1655424241,5,0.010363,0.000000,0.000000,0.000000,events/second
1655424271,5,0.009756,0.000000,0.000000,0.000000,events/second
1655424301,5,0.009216,0.000000,0.000000,0.000000,events/second
1655424332,5,0.008733,0.000000,0.000000,0.000000,events/second
1655424362,5,0.008298,0.000000,0.000000,0.000000,events/second
1655424392,5,0.007904,0.000000,0.000000,0.000000,events/second
1655424422,5,0.007546,0.000000,0.000000,0.000000,events/second
1655424452,5,0.007219,0.000000,0.000000,0.000000,events/second
1655424482,5,0.006919,0.000000,0.000000,0.000000,events/second
1655424512,5,0.006643,0.000000,0.000000,0.000000,events/second
1655424542,5,0.006389,0.000000,0.000000,0.000000,events/second
1655424572,5,0.006153,0.000000,0.000000,0.000000,events/second
1655424602,5,0.005933,0.000000,0.000000,0.000000,events/second
1655424632,5,0.005729,0.000000,0.000000,0.000000,events/second
1655424662,5,0.005539,0.000000,0.000000,0.000000,events/second
1655424930,3,0.063969,0.000000,0.000000,0.000000,events/second
1655424960,3,0.038972,0.000000,0.000000,0.000000,events/second
1655424990,3,0.028036,0.000000,0.000000,0.000000,events/second
1655425020,3,0.021893,0.000000,0.000000,0.000000,events/second
1655425050,3,0.017958,0.000000,0.000000,0.000000,events/second
1655425080,3,0.015223,0.000000,0.000000,0.000000,events/second
1655425110,3,0.013210,0.000000,0.000000,0.000000,events/second
1655425650,2,0.032262,0.000000,0.000000,0.000000,events/second
1655425680,2,0.021715,0.000000,0.000000,0.000000,events/second
