t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655423430,217,39.522274,0.000000,0.000000,0.000000,events/second
1655423460,228,6.414125,0.000000,0.000000,0.000000,events/second
1655423490,244,3.721123,0.000000,0.000000,0.000000,events/second
1655423550,15,0.714400,0.000000,0.000000,0.000000,events/second
1655423581,23,0.450084,0.000000,0.000000,0.000000,events/second
1655423640,19,0.617247,0.000000,0.000000,0.000000,events/second
1655423790,21,0.655377,0.000000,0.000000,0.000000,events/second
1655423821,27,0.434101,0.000000,0.000000,0.000000,events/second
1655423851,33,0.357759,0.000000,0.000000,0.000000,events/second
1655423881,39,0.318979,0.000000,0.000000,0.000000,events/second
1655423911,45,0.295496,0.000000,0.000000,0.000000,events/second
1655423941,51,0.279752,0.000000,0.000000,0.000000,events/second
1655423971,57,0.268459,0.000000,0.000000,0.000000,events/second
1655424001,63,0.259970,0.000000,0.000000,0.000000,events/second
1655424031,69,0.253339,0.000000,0.000000,0.000000,events/second
1655424061,75,0.248041,0.000000,0.000000,0.000000,events/second
1655424091,81,0.243696,0.000000,0.000000,0.000000,events/second
1655424121,87,0.240066,0.000000,0.000000,0.000000,events/second
1655424151,93,0.236991,0.000000,0.000000,0.000000,events/second
1655424181,99,0.234356,0.000000,0.000000,0.000000,events/second
1655424211,105,0.232073,0.000000,0.000000,0.000000,events/second
1655424241,111,0.230066,0.000000,0.000000,0.000000,events/second
1655424271,117,0.228297,0.000000,0.000000,0.000000,events/second
1655424301,123,0.226727,0.000000,0.000000,0.000000,events/second
1655424332,129,0.225323,0.000000,0.000000,0.000000,events/second
1655424362,135,0.224058,0.000000,0.000000,0.000000,events/second
1655424392,141,0.222907,0.000000,0.000000,0.000000,events/second
1655424422,147,0.221862,0.000000,0.000000,0.000000,events/second
1655424452,153,0.220908,0.000000,0.000000,0.000000,events/second
1655424482,159,0.220036,0.000000,0.000000,0.000000,events/second
1655424512,165,0.219234,0.000000,0.000000,0.000000,events/second
1655424542,171,0.218491,0.000000,0.000000,0.000000,events/second
1655424572,177,0.217801,0.000000,0.000000,0.000000,events/second
1655424602,183,0.217158,0.000000,0.000000,0.000000,events/second
1655424632,189,0.216566,0.000000,0.000000,0.000000,events/second
1655424662,195,0.216010,0.000000,0.000000,0.000000,events/second
1655424930,22,0.469074,0.000000,0.000000,0.000000,events/second
1655424960,28,0.363758,0.000000,0.000000,0.000000,events/second
1655424990,34,0.317756,0.000000,0.000000,0.000000,events/second
1655425020,40,0.291920,0.000000,0.000000,0.000000,events/second
1655425050,46,0.275363,0.000000,0.000000,0.000000,events/second
1655425080,52,0.263878,0.000000,0.000000,0.000000,events/second
1655425110,58,0.255391,0.000000,0.000000,0.000000,events/second
1655425650,25,0.403213,0.000000,0.000000,0.000000,events/second
1655425680,31,0.336603,0.000000,0.000000,0.000000,events/second
