t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655423430,217,39.478645,0.000000,0.000000,0.000000,events/second
1655423460,228,6.414187,0.000000,0.000000,0.000000,events/second
1655423490,244,3.721141,0.000000,0.000000,0.000000,events/second
1655423550,15,0.713906,0.000000,0.000000,0.000000,events/second
1655423581,23,0.450087,0.000000,0.000000,0.000000,events/second
1655423640,19,0.616831,0.000000,0.000000,0.000000,events/second
1655423790,21,0.654479,0.000000,0.000000,0.000000,events/second
1655423821,27,0.434106,0.000000,0.000000,0.000000,events/second
1655423851,33,0.357763,0.000000,0.000000,0.000000,events/second
1655423881,39,0.318982,0.000000,0.000000,0.000000,events/second
1655423911,45,0.295498,0.000000,0.000000,0.000000,events/second
1655423941,51,0.279753,0.000000,0.000000,0.000000,events/second
1655423971,57,0.268461,0.000000,0.000000,0.000000,events/second
1655424001,63,0.259971,0.000000,0.000000,0.000000,events/second
1655424031,69,0.253340,0.000000,0.000000,0.000000,events/second
1655424061,75,0.248042,0.000000,0.000000,0.000000,events/second
1655424091,81,0.243697,0.000000,0.000000,0.000000,events/second
1655424121,87,0.240066,0.000000,0.000000,0.000000,events/second
1655424151,93,0.236992,0.000000,0.000000,0.000000,events/second
1655424181,99,0.234357,0.000000,0.000000,0.000000,events/second
1655424211,105,0.232073,0.000000,0.000000,0.000000,events/second
1655424241,111,0.230067,0.000000,0.000000,0.000000,events/second
1655424271,117,0.228298,0.000000,0.000000,0.000000,events/second
1655424301,123,0.226727,0.000000,0.000000,0.000000,events/second
1655424332,129,0.225323,0.000000,0.000000,0.000000,events/second
1655424362,135,0.224059,0.000000,0.000000,0.000000,events/second
1655424392,141,0.222907,0.000000,0.000000,0.000000,events/second
1655424422,147,0.221863,0.000000,0.000000,0.000000,events/second
1655424452,153,0.220909,0.000000,0.000000,0.000000,events/second
1655424482,159,0.220036,0.000000,0.000000,0.000000,events/second
1655424512,165,0.219234,0.000000,0.000000,0.000000,events/second
1655424542,171,0.218491,0.000000,0.000000,0.000000,events/second
1655424572,177,0.217801,0.000000,0.000000,0.000000,events/second
1655424602,183,0.217159,0.000000,0.000000,0.000000,events/second
1655424632,189,0.216566,0.000000,0.000000,0.000000,events/second
1655424662,195,0.216010,0.000000,0.000000,0.000000,events/second
1655424930,22,0.469005,0.000000,0.000000,0.000000,events/second
1655424960,28,0.363760,0.000000,0.000000,0.000000,events/second
1655424990,34,0.317758,0.000000,0.000000,0.000000,events/second
1655425020,40,0.291921,0.000000,0.000000,0.000000,events/second
1655425050,46,0.275364,0.000000,0.000000,0.000000,events/second
1655425080,52,0.263879,0.000000,0.000000,0.000000,events/second
1655425110,58,0.255391,0.000000,0.000000,0.000000,events/second
1655425650,25,0.403126,0.000000,0.000000,0.000000,events/second
1655425680,31,0.336604,0.000000,0.000000,0.000000,events/second
