t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655423430,85,47.354441,0.000000,0.000000,0.000000,events/second
1655423460,184,5.781565,0.000000,0.000000,0.000000,events/second
1655423490,184,2.974915,0.000000,0.000000,0.000000,events/second
1655423550,258,63.507461,0.000000,0.000000,0.000000,events/second
1655423581,299,8.762480,0.000000,0.000000,0.000000,events/second
1655423640,260,19.231968,0.000000,0.000000,0.000000,events/second
1655423790,296,38.133303,0.000000,0.000000,0.000000,events/second
1655423821,296,7.823925,0.000000,0.000000,0.000000,events/second
1655423851,296,4.360960,0.000000,0.000000,0.000000,events/second
1655423881,320,3.268677,0.000000,0.000000,0.000000,events/second
1655423911,320,2.501562,0.000000,0.000000,0.000000,events/second
1655423941,343,2.171732,0.000000,0.000000,0.000000,events/second
1655423971,343,1.824892,0.000000,0.000000,0.000000,events/second
1655424001,343,1.573614,0.000000,0.000000,0.000000,events/second
1655424031,343,1.383084,0.000000,0.000000,0.000000,events/second
1655424061,343,1.233800,0.000000,0.000000,0.000000,events/second
1655424091,349,1.133064,0.000000,0.000000,0.000000,events/second
1655424121,349,1.032439,0.000000,0.000000,0.000000,events/second
1655424151,349,0.948233,0.000000,0.000000,0.000000,events/second
1655424181,349,0.876737,0.000000,0.000000,0.000000,events/second
1655424211,349,0.815272,0.000000,0.000000,0.000000,events/second
1655424241,356,0.777117,0.000000,0.000000,0.000000,events/second
1655424271,356,0.729323,0.000000,0.000000,0.000000,events/second
1655424301,356,0.687076,0.000000,0.000000,0.000000,events/second
1655424332,356,0.649462,0.000000,0.000000,0.000000,events/second
1655424362,356,0.615751,0.000000,0.000000,0.000000,events/second
1655424392,356,0.585348,0.000000,0.000000,0.000000,events/second
1655424422,362,0.567214,0.000000,0.000000,0.000000,events/second
1655424452,371,0.555199,0.000000,0.000000,0.000000,events/second
1655424482,371,0.531333,0.000000,0.000000,0.000000,events/second
1655424512,371,0.509438,0.000000,0.000000,0.000000,events/second
1655424542,380,0.501137,0.000000,0.000000,0.000000,events/second
1655424572,380,0.482049,0.000000,0.000000,0.000000,events/second
1655424602,380,0.464357,0.000000,0.000000,0.000000,events/second
1655424632,391,0.460896,0.000000,0.000000,0.000000,events/second
1655424662,391,0.445143,0.000000,0.000000,0.000000,events/second
1655424930,264,11.674883,0.000000,0.000000,0.000000,events/second
1655424960,275,5.221807,0.000000,0.000000,0.000000,events/second
1655424990,275,3.325686,0.000000,0.000000,0.000000,events/second
1655425020,275,2.439820,0.000000,0.000000,0.000000,events/second
1655425050,275,1.926561,0.000000,0.000000,0.000000,events/second
1655425080,294,1.701884,0.000000,0.000000,0.000000,events/second
1655425110,294,1.449761,0.000000,0.000000,0.000000,events/second
1655425141,294,1.262921,0.000000,0.000000,0.000000,events/second
1655425650,303,9.976847,0.000000,0.000000,0.000000,events/second
1655425680,316,5.230340,0.000000,0.000000,0.000000,events/second
