t,value
1655423430,98834944
1655423460,98834944
1655423490,98834944
1655423550,173435392
1655423581,173435392
1655423640,191293952
1655423790,198554624
1655423821,198554624
1655423851,198554624
1655423881,198554624
1655423911,198554624
1655423941,198554624
1655423971,198554624
1655424001,198554624
1655424031,198554624
1655424061,198554624
1655424091,198554624
1655424121,198554624
1655424151,198554624
1655424181,198554624
1655424211,198554624
1655424241,198554624
1655424271,198554624
1655424301,198554624
1655424332,198554624
1655424362,198554624
1655424392,198554624
1655424422,198554624
1655424452,198554624
1655424482,198554624
1655424512,198554624
1655424542,198554624
1655424572,198554624
1655424602,198554624
1655424632,198554624
1655424662,198554624
1655424930,312999936
1655424960,312999936
1655424990,312999936
1655425020,312999936
1655425050,312999936
1655425080,312999936
1655425110,312999936
1655425141,312999936
1655425650,196608000
1655425680,196608000
