t,value
1655423430,76
1655423460,41870
1655423490,8268
1655423550,5644826
1655423581,5644548
1655423640,5153850
1655423790,5661488
1655423821,304075
1655423851,303945
1655423881,303945
1655423911,303945
1655423941,303945
1655423971,303945
1655424001,303945
1655424031,303945
1655424061,303945
1655424091,303945
1655424121,303945
1655424151,303945
1655424181,303945
1655424211,303945
1655424241,303945
1655424271,303945
1655424301,303945
1655424332,303945
1655424362,303945
1655424392,303945
1655424422,303945
1655424452,303945
1655424482,303945
1655424512,303945
1655424542,303945
1655424572,303945
1655424602,303945
1655424632,303945
1655424662,303945
1655424930,5022786
1655424960,303945
1655424990,303945
1655425020,303945
1655425050,303945
1655425080,303945
1655425110,303945
1655425141,139268
1655425650,6071375
1655425680,303945
