t,value
1655423430,205520896
1655423460,24117248
1655423490,180355072
1655423550,274726912
1655423581,267386880
1655423640,165675008
1655423790,146800640
1655423821,141557760
1655423851,185597952
1655423881,88080384
1655423911,132120576
1655423941,26214400
1655423971,69206016
1655424001,121634816
1655424031,163577856
1655424061,216006656
1655424091,15728640
1655424121,80740352
1655424151,122683392
1655424181,175112192
1655424211,217055232
1655424241,17825792
1655424271,59768832
1655424301,114294784
1655424332,156237824
1655424362,209715200
1655424392,252706816
1655424422,87031808
1655424452,56623104
1655424482,171966464
1655424512,261095424
1655424542,101711872
1655424572,190840832
1655424602,265289728
1655424632,7340032
1655424662,55574528
1655424930,221249536
1655424960,51380224
1655424990,121634816
1655425020,195035136
1655425050,217055232
1655425080,28311552
1655425110,53477376
1655425141,158334976
1655425650,134217728
1655425680,20971520
