t,value
1655423430,18094592
1655423460,62254112
1655423490,62254112
1655423550,52849152
1655423581,73142272
1655423640,149916672
1655423790,150988912
1655423821,151616000
1655423851,151616000
1655423881,151238320
1655423911,151238320
1655423941,159653888
1655423971,159653888
1655424001,159653888
1655424031,159653888
1655424061,159653888
1655424091,159444832
1655424121,159444832
1655424151,159444832
1655424181,159444832
1655424211,159444832
1655424241,159286480
1655424271,159286480
1655424301,159286480
1655424332,159286480
1655424362,159286480
1655424392,159286480
1655424422,159653888
1655424452,158817648
1655424482,163011952
1655424512,165109104
1655424542,162717312
1655424572,162717312
1655424602,162717312
1655424632,162799616
1655424662,162799616
1655424930,147849216
1655424960,147846224
1655424990,152040528
1655425020,152040528
1655425050,152040528
1655425080,147597504
1655425110,147597504
1655425141,147597504
1655425650,138763320
1655425680,151031400
