t,value
1655423430,73
1655423460,102
1655423490,104
1655423550,105
1655423581,127
1655423640,121
1655423790,127
1655423821,88
1655423851,86
1655423881,86
1655423911,86
1655423941,87
1655423971,87
1655424001,86
1655424031,86
1655424061,84
1655424091,83
1655424121,81
1655424151,80
1655424181,81
1655424211,81
1655424241,81
1655424271,81
1655424301,81
1655424332,81
1655424362,80
1655424392,81
1655424422,81
1655424452,80
1655424482,81
1655424512,85
1655424542,85
1655424572,85
1655424602,85
1655424632,85
1655424662,85
1655424930,114
1655424960,76
1655424990,76
1655425020,76
1655425050,75
1655425080,75
1655425110,75
1655425141,45
1655425650,123
1655425680,79
